instrument,model,horizon,n_pre,n_post,n_matched,only_pre,only_pre_boundary,only_pre_interior,only_post,only_post_boundary,only_post_interior,label_diff_matched,label_diff_boundary,label_diff_interior,fwd_diff_matched,mid_diff_matched
gc,LightGBM,5,1166569,1166567,1166528,41,37,4,39,35,4,0,0,0,1,1
gc,LightGBM,10,1121964,1121961,1121921,43,39,4,40,36,4,0,0,0,1,1
gc,LightGBM,30,1192924,1192921,1192878,46,42,4,43,39,4,0,0,0,1,1
gc,LightGBM,60,1235937,1235935,1235891,46,42,4,44,40,4,0,0,0,1,1
gc,XGBoost,5,1166569,1166567,1166528,41,37,4,39,35,4,0,0,0,1,1
gc,XGBoost,10,1121964,1121961,1121921,43,39,4,40,36,4,0,0,0,1,1
gc,XGBoost,30,1192924,1192921,1192878,46,42,4,43,39,4,0,0,0,1,1
gc,XGBoost,60,1235937,1235935,1235891,46,42,4,44,40,4,0,0,0,1,1
nq,LightGBM,5,800124,800122,800086,38,35,3,36,33,3,0,0,0,0,0
nq,LightGBM,10,816713,816712,816675,38,35,3,37,34,3,0,0,0,0,0
nq,LightGBM,30,831170,831172,831136,34,31,3,36,33,3,0,0,0,0,0
nq,LightGBM,60,837323,837320,837284,39,36,3,36,33,3,0,0,0,0,0
nq,XGBoost,5,800124,800122,800086,38,35,3,36,33,3,0,0,0,0,0
nq,XGBoost,10,816713,816712,816675,38,35,3,37,34,3,0,0,0,0,0
nq,XGBoost,30,831170,831172,831136,34,31,3,36,33,3,0,0,0,0,0
nq,XGBoost,60,837323,837320,837284,39,36,3,36,33,3,0,0,0,0,0
zc,LightGBM,5,303408,303401,303393,15,15,0,8,8,0,0,0,0,1,1
zc,LightGBM,10,171669,171664,171658,11,11,0,6,6,0,0,0,0,0,0
zc,LightGBM,30,210771,210766,210755,16,16,0,11,11,0,0,0,0,0,0
zc,LightGBM,60,268634,268628,268615,19,19,0,13,13,0,0,0,0,0,0
zc,XGBoost,5,303408,303401,303393,15,15,0,8,8,0,0,0,0,1,1
zc,XGBoost,10,171669,171664,171658,11,11,0,6,6,0,0,0,0,0,0
zc,XGBoost,30,210771,210766,210755,16,16,0,11,11,0,0,0,0,0,0
zc,XGBoost,60,268634,268628,268615,19,19,0,13,13,0,0,0,0,0,0
zs,LightGBM,5,226487,226484,226471,16,16,0,13,13,0,0,0,0,0,0
zs,LightGBM,10,163289,163286,163276,13,13,0,10,10,0,0,0,0,0,0
zs,LightGBM,30,244717,244713,244702,15,15,0,11,11,0,0,0,0,0,0
zs,LightGBM,60,307610,307610,307592,18,18,0,18,18,0,0,0,0,0,0
zs,XGBoost,5,226487,226484,226471,16,16,0,13,13,0,0,0,0,0,0
zs,XGBoost,10,163289,163286,163276,13,13,0,10,10,0,0,0,0,0,0
zs,XGBoost,30,244717,244713,244702,15,15,0,11,11,0,0,0,0,0,0
zs,XGBoost,60,307610,307610,307592,18,18,0,18,18,0,0,0,0,0,0
