event_class,boundary,strict_count,equal_count,total_rows,gap_row_subset_strict,gap_row_subset_equal,n_events_in_class
trades_all,decision_T,0,0,338158,0,0,397457
trades_all,prev_row_B,89568,20,338158,12,0,397457
trades_buy,decision_T,0,0,338158,0,0,0
trades_buy,prev_row_B,0,0,338158,0,0,0
trades_sell,decision_T,0,0,338158,0,0,397457
trades_sell,prev_row_B,89568,20,338158,12,0,397457
trades_large,decision_T,0,0,338158,0,0,75606
trades_large,prev_row_B,23633,20,338158,0,0,75606
mbo_all,decision_T,0,0,338158,0,0,8272769
mbo_all,prev_row_B,254314,29,338158,19,0,8272769
mbo_bid_add,decision_T,0,0,338158,0,0,1239887
mbo_bid_add,prev_row_B,164958,1,338158,13,0,1239887
mbo_ask_add,decision_T,0,0,338158,0,0,1223790
mbo_ask_add,prev_row_B,162753,4,338158,16,0,1223790
mbo_bid_cancel,decision_T,0,0,338158,0,0,1219431
mbo_bid_cancel,prev_row_B,135980,23,338158,11,0,1219431
mbo_ask_cancel,decision_T,0,0,338158,0,0,1212634
mbo_ask_cancel,prev_row_B,129333,22,338158,14,0,1212634
mbo_cancel_any,decision_T,0,0,338158,0,0,2432065
mbo_cancel_any,prev_row_B,179856,24,338158,15,0,2432065
