event_class,boundary_c4,boundary_t1,t1_columns_in_class,t1_corrected_strict,t1_corrected_equal,t1_corrected_total,c4_strict,c4_equal,c4_total,exact_agreement,c4_gap_strict,c4_gap_equal,t1_contaminated_strict,t1_contaminated_equal,contaminated_minus_c4_strict,contaminated_equal_matches
trades_all,decision_T,decision_T,11,0,0,338158,0,0,338158,True,0,0,89568,20,,
trades_all,prev_row_B,claimed_T_prev,11,89568,20,338158,89568,20,338158,True,12,0,89568,20,0,True
trades_buy,decision_T,decision_T,2,0,0,338158,0,0,338158,True,0,0,0,0,,
trades_buy,prev_row_B,claimed_T_prev,2,0,0,338158,0,0,338158,True,0,0,0,0,0,True
trades_sell,decision_T,decision_T,2,0,0,338158,0,0,338158,True,0,0,89568,20,,
trades_sell,prev_row_B,claimed_T_prev,2,89568,20,338158,89568,20,338158,True,12,0,89568,20,0,True
trades_large,decision_T,decision_T,2,0,0,338158,0,0,338158,True,0,0,23633,20,,
trades_large,prev_row_B,claimed_T_prev,2,23633,20,338158,23633,20,338158,True,0,0,23633,20,0,True
mbo_all,decision_T,decision_T,3,0,0,338158,0,0,338158,True,0,0,254315,29,,
mbo_all,prev_row_B,claimed_T_prev,3,254314,29,338158,254314,29,338158,True,19,0,254315,29,1,True
mbo_bid_add,decision_T,decision_T,3,0,0,338158,0,0,338158,True,0,0,164959,1,,
mbo_bid_add,prev_row_B,claimed_T_prev,3,164958,1,338158,164958,1,338158,True,13,0,164959,1,1,True
mbo_ask_add,decision_T,decision_T,3,0,0,338158,0,0,338158,True,0,0,162754,4,,
mbo_ask_add,prev_row_B,claimed_T_prev,3,162753,4,338158,162753,4,338158,True,16,0,162754,4,1,True
mbo_bid_cancel,decision_T,decision_T,3,0,0,338158,0,0,338158,True,0,0,135981,23,,
mbo_bid_cancel,prev_row_B,claimed_T_prev,3,135980,23,338158,135980,23,338158,True,11,0,135981,23,1,True
mbo_ask_cancel,decision_T,decision_T,3,0,0,338158,0,0,338158,True,0,0,129334,22,,
mbo_ask_cancel,prev_row_B,claimed_T_prev,3,129333,22,338158,129333,22,338158,True,14,0,129334,22,1,True
mbo_cancel_any,decision_T,decision_T,1,0,0,338158,0,0,338158,True,0,0,179857,24,,
mbo_cancel_any,prev_row_B,claimed_T_prev,1,179856,24,338158,179856,24,338158,True,15,0,179857,24,1,True
