side,instrument,model,horizon,n_rows,n_used,n_zero_tick,n_label_pos,n_label_eq_signpos,recomputed_auc,test_auc,n_test,delta,abs_delta,flag_gt_5e-5,rows_match_n_test,_merge
pre,CL,LightGBM,5s,1930724,1930724,0,962781,1930724,0.8224051624,0.8224000000,1930724.0000000000,0.0000051624,0.0000051624,False,True,both
pre,CL,LightGBM,10s,1990321,1990321,0,995440,1990321,0.6534669829,0.6535000000,1990321.0000000000,-0.0000330171,0.0000330171,False,True,both
pre,CL,LightGBM,30s,2572423,2572423,0,1289817,2572423,0.6022315648,0.6022000000,2572423.0000000000,0.0000315648,0.0000315648,False,True,both
pre,CL,LightGBM,60s,2889289,2889289,0,1450536,2889289,0.5959461209,0.5959000000,2889289.0000000000,0.0000461209,0.0000461209,False,True,both
pre,CL,XGBoost,5s,1930724,1930724,0,962781,1930724,0.8224063295,0.8224000000,1930724.0000000000,0.0000063295,0.0000063295,False,True,both
pre,CL,XGBoost,10s,1990321,1990321,0,995440,1990321,0.6536054606,0.6536000000,1990321.0000000000,0.0000054606,0.0000054606,False,True,both
pre,CL,XGBoost,30s,2572423,2572423,0,1289817,2572423,0.6028842183,0.6029000000,2572423.0000000000,-0.0000157817,0.0000157817,False,True,both
pre,CL,XGBoost,60s,2889289,2889289,0,1450536,2889289,0.5973470146,0.5973000000,2889289.0000000000,0.0000470146,0.0000470146,False,True,both
pre,ES,LightGBM,5s,1884794,1884794,0,942288,1884794,0.6017328456,,,,,False,False,left_only
pre,ES,LightGBM,10s,2138729,2138729,0,1071918,2138729,0.5715609012,0.5716000000,2138729.0000000000,-0.0000390988,0.0000390988,False,True,both
pre,ES,LightGBM,30s,2424880,2424880,0,1221228,2424880,0.5375380328,0.5375000000,2424880.0000000000,0.0000380328,0.0000380328,False,True,both
pre,ES,LightGBM,60s,2548702,2548702,0,1291479,2548702,0.5233713936,0.5234000000,2548702.0000000000,-0.0000286064,0.0000286064,False,True,both
pre,ES,XGBoost,5s,1884794,1884794,0,942288,1884794,0.6019501110,0.6020000000,1884794.0000000000,-0.0000498890,0.0000498890,False,True,both
pre,ES,XGBoost,10s,2138729,2138729,0,1071918,2138729,0.5716484441,0.5716000000,2138729.0000000000,0.0000484441,0.0000484441,False,True,both
pre,ES,XGBoost,30s,2424880,2424880,0,1221228,2424880,0.5374325949,0.5374000000,2424880.0000000000,0.0000325949,0.0000325949,False,True,both
pre,ES,XGBoost,60s,2548702,2548702,0,1291479,2548702,0.5239491279,0.5239000000,2548702.0000000000,0.0000491279,0.0000491279,False,True,both
pre,GC,LightGBM,5s,3145463,3145463,0,1585767,3145463,0.7076803070,0.7077000000,3145463.0000000000,-0.0000196930,0.0000196930,False,True,both
pre,GC,LightGBM,10s,3011667,3011667,0,1525356,3011667,0.5647683439,0.5648000000,3011667.0000000000,-0.0000316561,0.0000316561,False,True,both
pre,GC,LightGBM,30s,3213561,3213561,0,1630704,3213561,0.5587781943,0.5588000000,3213561.0000000000,-0.0000218057,0.0000218057,False,True,both
pre,GC,LightGBM,60s,3329052,3329052,0,1692566,3329052,0.5692792358,0.5693000000,3329052.0000000000,-0.0000207642,0.0000207642,False,True,both
pre,GC,XGBoost,5s,3145463,3145463,0,1585767,3145463,0.7079092698,0.7079000000,3145463.0000000000,0.0000092698,0.0000092698,False,True,both
pre,GC,XGBoost,10s,3011667,3011667,0,1525356,3011667,0.5647540603,0.5648000000,3011667.0000000000,-0.0000459397,0.0000459397,False,True,both
pre,GC,XGBoost,30s,3213561,3213561,0,1630704,3213561,0.5583431639,0.5583000000,3213561.0000000000,0.0000431639,0.0000431639,False,True,both
pre,GC,XGBoost,60s,3329052,3329052,0,1692566,3329052,0.5699762511,0.5700000000,3329052.0000000000,-0.0000237489,0.0000237489,False,True,both
pre,HE,LightGBM,5s,542793,542793,0,269189,542793,0.6385055038,0.6385000000,542793.0000000000,0.0000055038,0.0000055038,False,True,both
pre,HE,LightGBM,10s,780550,780550,0,387522,780550,0.6019155020,0.6019000000,780550.0000000000,0.0000155020,0.0000155020,False,True,both
pre,HE,LightGBM,30s,1148033,1148033,0,569810,1148033,0.5530074581,0.5530000000,1148033.0000000000,0.0000074581,0.0000074581,False,True,both
pre,HE,LightGBM,60s,1314197,1314197,0,652055,1314197,0.5353032576,0.5353000000,1314197.0000000000,0.0000032576,0.0000032576,False,True,both
pre,HE,XGBoost,5s,542793,542793,0,269189,542793,0.6385133160,0.6385000000,542793.0000000000,0.0000133160,0.0000133160,False,True,both
pre,HE,XGBoost,10s,780550,780550,0,387522,780550,0.6020925468,0.6021000000,780550.0000000000,-0.0000074532,0.0000074532,False,True,both
pre,HE,XGBoost,30s,1148033,1148033,0,569810,1148033,0.5522037958,0.5522000000,1148033.0000000000,0.0000037958,0.0000037958,False,True,both
pre,HE,XGBoost,60s,1314197,1314197,0,652055,1314197,0.5335276459,0.5335000000,1314197.0000000000,0.0000276459,0.0000276459,False,True,both
pre,LE,LightGBM,5s,994518,994518,0,498111,994518,0.5848394797,0.5848000000,994518.0000000000,0.0000394797,0.0000394797,False,True,both
pre,LE,LightGBM,10s,1220963,1220963,0,614410,1220963,0.5602938073,0.5603000000,1220963.0000000000,-0.0000061927,0.0000061927,False,True,both
pre,LE,LightGBM,30s,1423152,1423152,0,721563,1423152,0.5327342722,0.5327000000,1423152.0000000000,0.0000342722,0.0000342722,False,True,both
pre,LE,LightGBM,60s,1478639,1478639,0,751357,1478639,0.5231801806,0.5232000000,1478639.0000000000,-0.0000198194,0.0000198194,False,True,both
pre,LE,XGBoost,5s,994518,994518,0,498111,994518,0.5848698708,0.5849000000,994518.0000000000,-0.0000301292,0.0000301292,False,True,both
pre,LE,XGBoost,10s,1220963,1220963,0,614410,1220963,0.5600802405,0.5601000000,1220963.0000000000,-0.0000197595,0.0000197595,False,True,both
pre,LE,XGBoost,30s,1423152,1423152,0,721563,1423152,0.5323010471,0.5323000000,1423152.0000000000,0.0000010471,0.0000010471,False,True,both
pre,LE,XGBoost,60s,1478639,1478639,0,751357,1478639,0.5203561345,0.5204000000,1478639.0000000000,-0.0000438655,0.0000438655,False,True,both
pre,NQ,LightGBM,5s,2650986,2650986,0,1323269,2650986,0.5419695210,0.5420000000,2650986.0000000000,-0.0000304790,0.0000304790,False,True,both
pre,NQ,LightGBM,10s,2709685,2709685,0,1356764,2709685,0.5306972622,0.5307000000,2709685.0000000000,-0.0000027378,0.0000027378,False,True,both
pre,NQ,LightGBM,30s,2761782,2761782,0,1391293,2761782,0.5161030428,0.5161000000,2761782.0000000000,0.0000030428,0.0000030428,False,True,both
pre,NQ,LightGBM,60s,2783959,2783959,0,1408879,2783959,0.5052963093,0.5053000000,2783959.0000000000,-0.0000036907,0.0000036907,False,True,both
pre,NQ,XGBoost,5s,2650986,2650986,0,1323269,2650986,0.5421315407,0.5421000000,2650986.0000000000,0.0000315407,0.0000315407,False,True,both
pre,NQ,XGBoost,10s,2709685,2709685,0,1356764,2709685,0.5315749549,0.5316000000,2709685.0000000000,-0.0000250451,0.0000250451,False,True,both
pre,NQ,XGBoost,30s,2761782,2761782,0,1391293,2761782,0.5171039401,0.5171000000,2761782.0000000000,0.0000039401,0.0000039401,False,True,both
pre,NQ,XGBoost,60s,2783959,2783959,0,1408879,2783959,0.5088881932,0.5089000000,2783959.0000000000,-0.0000118068,0.0000118068,False,True,both
pre,ZC,LightGBM,5s,1047430,1047430,0,522896,1047430,0.9662437484,0.9662000000,1047430.0000000000,0.0000437484,0.0000437484,False,True,both
pre,ZC,LightGBM,10s,655016,655016,0,329369,655016,0.9399684652,0.9400000000,655016.0000000000,-0.0000315348,0.0000315348,False,True,both
pre,ZC,LightGBM,30s,745656,745656,0,373718,745656,0.8564194096,0.8564000000,745656.0000000000,0.0000194096,0.0000194096,False,True,both
pre,ZC,LightGBM,60s,890687,890687,0,447195,890687,0.7552441575,0.7552000000,890687.0000000000,0.0000441575,0.0000441575,False,True,both
pre,ZC,XGBoost,5s,1047430,1047430,0,522896,1047430,0.9658659971,0.9659000000,1047430.0000000000,-0.0000340029,0.0000340029,False,True,both
pre,ZC,XGBoost,10s,655016,655016,0,329369,655016,0.9406199014,0.9406000000,655016.0000000000,0.0000199014,0.0000199014,False,True,both
pre,ZC,XGBoost,30s,745656,745656,0,373718,745656,0.8567950086,0.8568000000,745656.0000000000,-0.0000049914,0.0000049914,False,True,both
pre,ZC,XGBoost,60s,890687,890687,0,447195,890687,0.7556556391,0.7557000000,890687.0000000000,-0.0000443609,0.0000443609,False,True,both
pre,ZS,LightGBM,5s,885602,885602,0,442763,885602,0.9527281113,0.9527000000,885602.0000000000,0.0000281113,0.0000281113,False,True,both
pre,ZS,LightGBM,10s,699991,699991,0,348636,699991,0.8237303282,0.8237000000,699991.0000000000,0.0000303282,0.0000303282,False,True,both
pre,ZS,LightGBM,30s,1018858,1018858,0,508416,1018858,0.7038366281,0.7038000000,1018858.0000000000,0.0000366281,0.0000366281,False,True,both
pre,ZS,LightGBM,60s,1256335,1256335,0,627180,1256335,0.6507066853,0.6507000000,1256335.0000000000,0.0000066853,0.0000066853,False,True,both
pre,ZS,XGBoost,5s,885602,885602,0,442763,885602,0.9525330468,0.9525000000,885602.0000000000,0.0000330468,0.0000330468,False,True,both
pre,ZS,XGBoost,10s,699991,699991,0,348636,699991,0.8254121777,0.8254000000,699991.0000000000,0.0000121777,0.0000121777,False,True,both
pre,ZS,XGBoost,30s,1018858,1018858,0,508416,1018858,0.7007420436,0.7007000000,1018858.0000000000,0.0000420436,0.0000420436,False,True,both
pre,ZS,XGBoost,60s,1256335,1256335,0,627180,1256335,0.6511356785,0.6511000000,1256335.0000000000,0.0000356785,0.0000356785,False,True,both
post,CL,LightGBM,5s,1930724,1930724,0,962781,1930724,0.8135799776,,,,,False,False,left_only
post,CL,LightGBM,10s,1990321,1990321,0,995440,1990321,0.6388106346,,,,,False,False,left_only
post,CL,LightGBM,30s,2572423,2572423,0,1289817,2572423,0.5916199170,,,,,False,False,left_only
post,CL,LightGBM,60s,2889289,2889289,0,1450536,2889289,0.5872514424,,,,,False,False,left_only
post,CL,XGBoost,5s,1930724,1930724,0,962781,1930724,0.8134994126,,,,,False,False,left_only
post,CL,XGBoost,10s,1990321,1990321,0,995440,1990321,0.6386287007,,,,,False,False,left_only
post,CL,XGBoost,30s,2572423,2572423,0,1289817,2572423,0.5921317683,,,,,False,False,left_only
post,CL,XGBoost,60s,2889289,2889289,0,1450536,2889289,0.5873346262,,,,,False,False,left_only
post,ES,LightGBM,5s,1884794,1884794,0,942288,1884794,0.5938958404,,,,,False,False,left_only
post,ES,LightGBM,10s,2138729,2138729,0,1071918,2138729,0.5665629158,,,,,False,False,left_only
post,ES,LightGBM,30s,2424880,2424880,0,1221228,2424880,0.5351098448,,,,,False,False,left_only
post,ES,LightGBM,60s,2548702,2548702,0,1291479,2548702,0.5192527621,,,,,False,False,left_only
post,ES,XGBoost,5s,1884794,1884794,0,942288,1884794,0.5941356628,,,,,False,False,left_only
post,ES,XGBoost,10s,2138729,2138729,0,1071918,2138729,0.5669340962,,,,,False,False,left_only
post,ES,XGBoost,30s,2424880,2424880,0,1221228,2424880,0.5363001015,,,,,False,False,left_only
post,ES,XGBoost,60s,2548702,2548702,0,1291479,2548702,0.5187165294,,,,,False,False,left_only
post,GC,LightGBM,5s,3145463,3145463,0,1585767,3145463,0.6958365008,0.6958000000,3145463.0000000000,0.0000365008,0.0000365008,False,True,both
post,GC,LightGBM,10s,3011667,3011667,0,1525356,3011667,0.5457199959,0.5457000000,3011667.0000000000,0.0000199959,0.0000199959,False,True,both
post,GC,LightGBM,30s,3213561,3213561,0,1630704,3213561,0.5416895783,0.5417000000,3213561.0000000000,-0.0000104217,0.0000104217,False,True,both
post,GC,LightGBM,60s,3329052,3329052,0,1692566,3329052,0.5572736442,0.5573000000,3329052.0000000000,-0.0000263558,0.0000263558,False,True,both
post,GC,XGBoost,5s,3145463,3145463,0,1585767,3145463,0.6961170343,0.6961000000,3145463.0000000000,0.0000170343,0.0000170343,False,True,both
