side,instrument,model,horizon,file,n_rows,n_nan_pred,n_nan_label,n_used,recomputed_auc,n_zero_tick,n_nan_fwd,n_label_pos,n_label_eq_signpos
pre,CL,LightGBM,10s,cl_LightGBM_10s_predictions.parquet,1990321,0,0,1990321,0.6534669829,0,0,995440,1990321
pre,CL,LightGBM,30s,cl_LightGBM_30s_predictions.parquet,2572423,0,0,2572423,0.6022315648,0,0,1289817,2572423
pre,CL,LightGBM,5s,cl_LightGBM_5s_predictions.parquet,1930724,0,0,1930724,0.8224051624,0,0,962781,1930724
pre,CL,LightGBM,60s,cl_LightGBM_60s_predictions.parquet,2889289,0,0,2889289,0.5959461209,0,0,1450536,2889289
pre,CL,XGBoost,10s,cl_XGBoost_10s_predictions.parquet,1990321,0,0,1990321,0.6536054606,0,0,995440,1990321
pre,CL,XGBoost,30s,cl_XGBoost_30s_predictions.parquet,2572423,0,0,2572423,0.6028842183,0,0,1289817,2572423
pre,CL,XGBoost,5s,cl_XGBoost_5s_predictions.parquet,1930724,0,0,1930724,0.8224063295,0,0,962781,1930724
pre,CL,XGBoost,60s,cl_XGBoost_60s_predictions.parquet,2889289,0,0,2889289,0.5973470146,0,0,1450536,2889289
pre,ES,LightGBM,10s,es_LightGBM_10s_predictions.parquet,2138729,0,0,2138729,0.5715609012,0,0,1071918,2138729
pre,ES,LightGBM,30s,es_LightGBM_30s_predictions.parquet,2424880,0,0,2424880,0.5375380328,0,0,1221228,2424880
pre,ES,LightGBM,5s,es_LightGBM_5s_predictions.parquet,1884794,0,0,1884794,0.6017328456,0,0,942288,1884794
pre,ES,LightGBM,60s,es_LightGBM_60s_predictions.parquet,2548702,0,0,2548702,0.5233713936,0,0,1291479,2548702
pre,ES,XGBoost,10s,es_XGBoost_10s_predictions.parquet,2138729,0,0,2138729,0.5716484441,0,0,1071918,2138729
pre,ES,XGBoost,30s,es_XGBoost_30s_predictions.parquet,2424880,0,0,2424880,0.5374325949,0,0,1221228,2424880
pre,ES,XGBoost,5s,es_XGBoost_5s_predictions.parquet,1884794,0,0,1884794,0.6019501110,0,0,942288,1884794
pre,ES,XGBoost,60s,es_XGBoost_60s_predictions.parquet,2548702,0,0,2548702,0.5239491279,0,0,1291479,2548702
pre,GC,LightGBM,10s,gc_LightGBM_10s_predictions.parquet,3011667,0,0,3011667,0.5647683439,0,0,1525356,3011667
pre,GC,LightGBM,30s,gc_LightGBM_30s_predictions.parquet,3213561,0,0,3213561,0.5587781943,0,0,1630704,3213561
pre,GC,LightGBM,5s,gc_LightGBM_5s_predictions.parquet,3145463,0,0,3145463,0.7076803070,0,0,1585767,3145463
pre,GC,LightGBM,60s,gc_LightGBM_60s_predictions.parquet,3329052,0,0,3329052,0.5692792358,0,0,1692566,3329052
pre,GC,XGBoost,10s,gc_XGBoost_10s_predictions.parquet,3011667,0,0,3011667,0.5647540603,0,0,1525356,3011667
pre,GC,XGBoost,30s,gc_XGBoost_30s_predictions.parquet,3213561,0,0,3213561,0.5583431639,0,0,1630704,3213561
pre,GC,XGBoost,5s,gc_XGBoost_5s_predictions.parquet,3145463,0,0,3145463,0.7079092698,0,0,1585767,3145463
pre,GC,XGBoost,60s,gc_XGBoost_60s_predictions.parquet,3329052,0,0,3329052,0.5699762511,0,0,1692566,3329052
pre,HE,LightGBM,10s,he_LightGBM_10s_predictions.parquet,780550,0,0,780550,0.6019155020,0,0,387522,780550
pre,HE,LightGBM,30s,he_LightGBM_30s_predictions.parquet,1148033,0,0,1148033,0.5530074581,0,0,569810,1148033
pre,HE,LightGBM,5s,he_LightGBM_5s_predictions.parquet,542793,0,0,542793,0.6385055038,0,0,269189,542793
pre,HE,LightGBM,60s,he_LightGBM_60s_predictions.parquet,1314197,0,0,1314197,0.5353032576,0,0,652055,1314197
pre,HE,XGBoost,10s,he_XGBoost_10s_predictions.parquet,780550,0,0,780550,0.6020925468,0,0,387522,780550
pre,HE,XGBoost,30s,he_XGBoost_30s_predictions.parquet,1148033,0,0,1148033,0.5522037958,0,0,569810,1148033
pre,HE,XGBoost,5s,he_XGBoost_5s_predictions.parquet,542793,0,0,542793,0.6385133160,0,0,269189,542793
pre,HE,XGBoost,60s,he_XGBoost_60s_predictions.parquet,1314197,0,0,1314197,0.5335276459,0,0,652055,1314197
pre,LE,LightGBM,10s,le_LightGBM_10s_predictions.parquet,1220963,0,0,1220963,0.5602938073,0,0,614410,1220963
