event_class,side,boundary,rows_total,rows_integral,rows_mid_second,strict_viol_integral,strict_viol_mid_second,strict_viol_total,strict_total_matches_t1,equal_tie_integral,equal_tie_mid_second,equal_tie_total,equal_total_matches_t1,viol_rate_integral,viol_rate_mid_second,rate_ratio_integral_over_mid,share_of_viol_on_integral,share_of_rows_integral,cf_integral_stamp_viol_rate_on_mid_rows,cf_mid_rows_viol_if_stamp_were_integral,cf_viol_total_if_all_stamps_integral,estimators
trades_all,contaminated,decision_T,338159,321384,16775,89566,2,89568,True,20,0,20,True,0.278688,0.000119,2337.499,0.999978,0.950393,0.241371,4049,93615,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
trades_buy,contaminated,decision_T,338159,321384,16775,0,0,0,True,0,0,0,True,0.0,0.0,,,0.950393,0.0,0,0,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
trades_sell,contaminated,decision_T,338159,321384,16775,89566,2,89568,True,20,0,20,True,0.278688,0.000119,2337.499,0.999978,0.950393,0.241371,4049,93615,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
trades_large,contaminated,decision_T,338159,321384,16775,23633,0,23633,True,20,0,20,True,0.073535,0.0,,1.0,0.950393,0.05532,928,24561,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
mbo_all,contaminated,decision_T,338159,321384,16775,254266,49,254315,True,21,8,29,True,0.791159,0.002921,270.851,0.999807,0.950393,0.685544,11500,265766,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
mbo_bid_add,contaminated,decision_T,338159,321384,16775,164952,7,164959,True,0,1,1,True,0.513255,0.000417,1229.979,0.999958,0.950393,0.407332,6833,171785,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
mbo_ask_add,contaminated,decision_T,338159,321384,16775,162735,19,162754,True,1,3,4,True,0.506357,0.001133,447.06,0.999883,0.950393,0.42468,7124,169859,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
mbo_bid_cancel,contaminated,decision_T,338159,321384,16775,135972,9,135981,True,21,2,23,True,0.423083,0.000537,788.579,0.999934,0.950393,0.337168,5656,141628,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
mbo_ask_cancel,contaminated,decision_T,338159,321384,16775,129325,9,129334,True,21,1,22,True,0.4024,0.000537,750.029,0.99993,0.950393,0.313025,5251,134576,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
mbo_cancel_any,contaminated,decision_T,338159,321384,16775,179841,16,179857,True,21,3,24,True,0.559583,0.000954,586.688,0.999911,0.950393,0.449061,7533,187374,"RUNMAX(per-second run boundaries)==SSORT(t1 searchsorted), row_disagreements=0"
