instrument,month,max_strict,max_equal,nonzero_cells,cells,rows,same_second_as_prev_rows
es,2025-01,0,6,6,11,605289,6
nq,2025-01,0,0,0,4,598227,6
cl,2025-01,54341,2197,10,11,801410,90007
gc,2025-01,37065,1853,9,10,761736,63896
zc,2025-01,0,0,0,10,338158,0
zs,2025-01,0,0,0,10,337844,0
he,2025-01,0,1,3,10,337488,1
le,2025-01,0,1,2,10,337493,1
es,2025-08,0,6,4,11,546609,6
nq,2025-08,0,0,0,4,540530,7
cl,2025-08,27852,1427,9,10,664076,50518
gc,2025-08,42886,1907,9,10,692041,74485
zc,2025-08,90868,2857,9,10,554303,211450
zs,2025-08,64404,2161,9,10,465381,132212
he,2025-08,0,15,5,10,308710,15
le,2025-08,0,13,6,10,308710,13
