instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
cl,2025-08,trades_all,corrected,decision_T,9048,0,664076,9048,0
cl,2025-08,trades_all,corrected,prev_row_B,142974,0,664076,,
cl,2025-08,trades_buy,corrected,decision_T,0,0,664076,0,0
cl,2025-08,trades_buy,corrected,prev_row_B,0,0,664076,,
cl,2025-08,trades_sell,corrected,decision_T,9048,0,664076,9048,0
cl,2025-08,trades_sell,corrected,prev_row_B,142974,0,664076,,
cl,2025-08,trades_large,corrected,decision_T,771,0,664076,771,0
cl,2025-08,trades_large,corrected,prev_row_B,9919,0,664076,,
cl,2025-08,trades_all,contaminated,decision_T,142974,0,664077,,
cl,2025-08,trades_buy,contaminated,decision_T,0,0,664077,,
cl,2025-08,trades_sell,contaminated,decision_T,142974,0,664077,,
cl,2025-08,trades_large,contaminated,decision_T,9919,0,664077,,
cl,2025-08,mbo_all,corrected,decision_T,27852,1427,664076,27852,1427
cl,2025-08,mbo_all,corrected,prev_row_B,406797,2468,664076,,
cl,2025-08,mbo_bid_add,corrected,decision_T,18374,603,664076,18374,603
cl,2025-08,mbo_bid_add,corrected,prev_row_B,283878,1105,664076,,
cl,2025-08,mbo_ask_add,corrected,decision_T,18586,812,664076,18586,812
cl,2025-08,mbo_ask_add,corrected,prev_row_B,284551,1347,664076,,
cl,2025-08,mbo_bid_cancel,corrected,decision_T,17902,3,664076,17902,3
cl,2025-08,mbo_bid_cancel,corrected,prev_row_B,278277,5,664076,,
cl,2025-08,mbo_ask_cancel,corrected,decision_T,17988,6,664076,17988,6
cl,2025-08,mbo_ask_cancel,corrected,prev_row_B,278073,9,664076,,
cl,2025-08,mbo_cancel_any,corrected,decision_T,22428,9,664076,22428,9
cl,2025-08,mbo_cancel_any,corrected,prev_row_B,339211,14,664076,,
cl,2025-08,mbo_all,contaminated,decision_T,406797,2469,664077,,
cl,2025-08,mbo_bid_add,contaminated,decision_T,283878,1105,664077,,
cl,2025-08,mbo_ask_add,contaminated,decision_T,284551,1347,664077,,
cl,2025-08,mbo_bid_cancel,contaminated,decision_T,278277,5,664077,,
cl,2025-08,mbo_ask_cancel,contaminated,decision_T,278073,9,664077,,
cl,2025-08,mbo_cancel_any,contaminated,decision_T,339211,14,664077,,
