instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
es,2025-01,trades_all,corrected,decision_T,0,0,605289,0,0
es,2025-01,trades_all,corrected,prev_row_B,514323,1,605289,,
es,2025-01,trades_buy,corrected,decision_T,0,0,605289,0,0
es,2025-01,trades_buy,corrected,prev_row_B,0,0,605289,,
es,2025-01,trades_sell,corrected,decision_T,0,0,605289,0,0
es,2025-01,trades_sell,corrected,prev_row_B,514323,1,605289,,
es,2025-01,trades_large,corrected,decision_T,0,0,605289,0,0
es,2025-01,trades_large,corrected,prev_row_B,216349,0,605289,,
es,2025-01,trades_all,contaminated,decision_T,514323,1,605290,,
es,2025-01,trades_buy,contaminated,decision_T,0,0,605290,,
es,2025-01,trades_sell,contaminated,decision_T,514323,1,605290,,
es,2025-01,trades_large,contaminated,decision_T,216349,0,605290,,
es,2025-01,mbo_all,corrected,decision_T,0,4,605289,0,4
es,2025-01,mbo_all,corrected,prev_row_B,585940,248,605289,,
es,2025-01,mbo_bid_add,corrected,decision_T,0,2,605289,0,2
es,2025-01,mbo_bid_add,corrected,prev_row_B,571405,97,605289,,
es,2025-01,mbo_ask_add,corrected,decision_T,0,1,605289,0,1
es,2025-01,mbo_ask_add,corrected,prev_row_B,571247,148,605289,,
es,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,605289,0,0
es,2025-01,mbo_bid_cancel,corrected,prev_row_B,568448,1,605289,,
es,2025-01,mbo_ask_cancel,corrected,decision_T,0,1,605289,0,1
es,2025-01,mbo_ask_cancel,corrected,prev_row_B,568933,2,605289,,
es,2025-01,mbo_cancel_any,corrected,decision_T,0,1,605289,0,1
es,2025-01,mbo_cancel_any,corrected,prev_row_B,579272,3,605289,,
es,2025-01,mbo_all_rows,corrected,decision_T,0,6,605289,0,6
es,2025-01,mbo_all_rows,corrected,prev_row_B,587370,249,605289,,
es,2025-01,mbo_all,contaminated,decision_T,585940,248,605290,,
es,2025-01,mbo_bid_add,contaminated,decision_T,571405,97,605290,,
es,2025-01,mbo_ask_add,contaminated,decision_T,571247,148,605290,,
es,2025-01,mbo_bid_cancel,contaminated,decision_T,568448,1,605290,,
es,2025-01,mbo_ask_cancel,contaminated,decision_T,568933,2,605290,,
es,2025-01,mbo_cancel_any,contaminated,decision_T,579272,3,605290,,
es,2025-01,mbo_all_rows,contaminated,decision_T,587370,250,605290,,
