instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
gc,2025-08,trades_all,corrected,decision_T,16051,0,692041,16051,0
gc,2025-08,trades_all,corrected,prev_row_B,204014,0,692041,,
gc,2025-08,trades_buy,corrected,decision_T,0,0,692041,0,0
gc,2025-08,trades_buy,corrected,prev_row_B,0,0,692041,,
gc,2025-08,trades_sell,corrected,decision_T,16051,0,692041,16051,0
gc,2025-08,trades_sell,corrected,prev_row_B,204014,0,692041,,
gc,2025-08,trades_large,corrected,decision_T,232,0,692041,232,0
gc,2025-08,trades_large,corrected,prev_row_B,3064,0,692041,,
gc,2025-08,trades_all,contaminated,decision_T,204014,0,692042,,
gc,2025-08,trades_buy,contaminated,decision_T,0,0,692042,,
gc,2025-08,trades_sell,contaminated,decision_T,204014,0,692042,,
gc,2025-08,trades_large,contaminated,decision_T,3064,0,692042,,
gc,2025-08,mbo_all,corrected,decision_T,42886,1907,692041,42886,1907
gc,2025-08,mbo_all,corrected,prev_row_B,461530,2864,692041,,
gc,2025-08,mbo_bid_add,corrected,decision_T,29001,949,692041,29001,949
gc,2025-08,mbo_bid_add,corrected,prev_row_B,342764,1427,692041,,
gc,2025-08,mbo_ask_add,corrected,decision_T,28636,947,692041,28636,947
gc,2025-08,mbo_ask_add,corrected,prev_row_B,335400,1426,692041,,
gc,2025-08,mbo_bid_cancel,corrected,decision_T,28194,6,692041,28194,6
gc,2025-08,mbo_bid_cancel,corrected,prev_row_B,338915,7,692041,,
gc,2025-08,mbo_ask_cancel,corrected,decision_T,28457,3,692041,28457,3
gc,2025-08,mbo_ask_cancel,corrected,prev_row_B,337334,3,692041,,
gc,2025-08,mbo_cancel_any,corrected,decision_T,35509,9,692041,35509,9
gc,2025-08,mbo_cancel_any,corrected,prev_row_B,402064,10,692041,,
gc,2025-08,mbo_all,contaminated,decision_T,461530,2865,692042,,
gc,2025-08,mbo_bid_add,contaminated,decision_T,342764,1427,692042,,
gc,2025-08,mbo_ask_add,contaminated,decision_T,335400,1426,692042,,
gc,2025-08,mbo_bid_cancel,contaminated,decision_T,338915,7,692042,,
gc,2025-08,mbo_ask_cancel,contaminated,decision_T,337334,3,692042,,
gc,2025-08,mbo_cancel_any,contaminated,decision_T,402064,10,692042,,
