instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
le,2025-01,trades_all,corrected,decision_T,0,0,337493,0,0
le,2025-01,trades_all,corrected,prev_row_B,44691,0,337493,,
le,2025-01,trades_buy,corrected,decision_T,0,0,337493,0,0
le,2025-01,trades_buy,corrected,prev_row_B,0,0,337493,,
le,2025-01,trades_sell,corrected,decision_T,0,0,337493,0,0
le,2025-01,trades_sell,corrected,prev_row_B,44691,0,337493,,
le,2025-01,trades_large,corrected,decision_T,0,0,337493,0,0
le,2025-01,trades_large,corrected,prev_row_B,1680,0,337493,,
le,2025-01,trades_all,contaminated,decision_T,44691,0,337494,,
le,2025-01,trades_buy,contaminated,decision_T,0,0,337494,,
le,2025-01,trades_sell,contaminated,decision_T,44691,0,337494,,
le,2025-01,trades_large,contaminated,decision_T,1680,0,337494,,
le,2025-01,mbo_all,corrected,decision_T,0,1,337493,0,1
le,2025-01,mbo_all,corrected,prev_row_B,140720,4,337493,,
le,2025-01,mbo_bid_add,corrected,decision_T,0,1,337493,0,1
le,2025-01,mbo_bid_add,corrected,prev_row_B,93211,2,337493,,
le,2025-01,mbo_ask_add,corrected,decision_T,0,0,337493,0,0
le,2025-01,mbo_ask_add,corrected,prev_row_B,93626,0,337493,,
le,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,337493,0,0
le,2025-01,mbo_bid_cancel,corrected,prev_row_B,91114,1,337493,,
le,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,337493,0,0
le,2025-01,mbo_ask_cancel,corrected,prev_row_B,91240,1,337493,,
le,2025-01,mbo_cancel_any,corrected,decision_T,0,0,337493,0,0
le,2025-01,mbo_cancel_any,corrected,prev_row_B,117036,2,337493,,
le,2025-01,mbo_all,contaminated,decision_T,140720,4,337494,,
le,2025-01,mbo_bid_add,contaminated,decision_T,93211,2,337494,,
le,2025-01,mbo_ask_add,contaminated,decision_T,93626,0,337494,,
le,2025-01,mbo_bid_cancel,contaminated,decision_T,91114,1,337494,,
le,2025-01,mbo_ask_cancel,contaminated,decision_T,91240,1,337494,,
le,2025-01,mbo_cancel_any,contaminated,decision_T,117036,2,337494,,
