instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
nq,2025-01,trades_all,corrected,decision_T,0,0,598227,0,0
nq,2025-01,trades_all,corrected,prev_row_B,543341,0,598227,,
nq,2025-01,trades_buy,corrected,decision_T,0,0,598227,0,0
nq,2025-01,trades_buy,corrected,prev_row_B,0,0,598227,,
nq,2025-01,trades_sell,corrected,decision_T,0,0,598227,0,0
nq,2025-01,trades_sell,corrected,prev_row_B,543341,0,598227,,
nq,2025-01,trades_large,corrected,decision_T,0,0,598227,0,0
nq,2025-01,trades_large,corrected,prev_row_B,9694,0,598227,,
nq,2025-01,trades_all,contaminated,decision_T,543341,0,598228,,
nq,2025-01,trades_buy,contaminated,decision_T,0,0,598228,,
nq,2025-01,trades_sell,contaminated,decision_T,543341,0,598228,,
nq,2025-01,trades_large,contaminated,decision_T,9694,0,598228,,
