instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
zc,2025-01,trades_all,corrected,decision_T,0,0,338158,0,0
zc,2025-01,trades_all,corrected,prev_row_B,89568,20,338158,,
zc,2025-01,trades_buy,corrected,decision_T,0,0,338158,0,0
zc,2025-01,trades_buy,corrected,prev_row_B,0,0,338158,,
zc,2025-01,trades_sell,corrected,decision_T,0,0,338158,0,0
zc,2025-01,trades_sell,corrected,prev_row_B,89568,20,338158,,
zc,2025-01,trades_large,corrected,decision_T,0,0,338158,0,0
zc,2025-01,trades_large,corrected,prev_row_B,23633,20,338158,,
zc,2025-01,trades_all,contaminated,decision_T,89568,20,338159,,
zc,2025-01,trades_buy,contaminated,decision_T,0,0,338159,,
zc,2025-01,trades_sell,contaminated,decision_T,89568,20,338159,,
zc,2025-01,trades_large,contaminated,decision_T,23633,20,338159,,
zc,2025-01,mbo_all,corrected,decision_T,0,0,338158,0,0
zc,2025-01,mbo_all,corrected,prev_row_B,254314,29,338158,,
zc,2025-01,mbo_bid_add,corrected,decision_T,0,0,338158,0,0
zc,2025-01,mbo_bid_add,corrected,prev_row_B,164958,1,338158,,
zc,2025-01,mbo_ask_add,corrected,decision_T,0,0,338158,0,0
zc,2025-01,mbo_ask_add,corrected,prev_row_B,162753,4,338158,,
zc,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,338158,0,0
zc,2025-01,mbo_bid_cancel,corrected,prev_row_B,135980,23,338158,,
zc,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,338158,0,0
zc,2025-01,mbo_ask_cancel,corrected,prev_row_B,129333,22,338158,,
zc,2025-01,mbo_cancel_any,corrected,decision_T,0,0,338158,0,0
zc,2025-01,mbo_cancel_any,corrected,prev_row_B,179856,24,338158,,
zc,2025-01,mbo_all,contaminated,decision_T,254315,29,338159,,
zc,2025-01,mbo_bid_add,contaminated,decision_T,164959,1,338159,,
zc,2025-01,mbo_ask_add,contaminated,decision_T,162754,4,338159,,
zc,2025-01,mbo_bid_cancel,contaminated,decision_T,135981,23,338159,,
zc,2025-01,mbo_ask_cancel,contaminated,decision_T,129334,22,338159,,
zc,2025-01,mbo_cancel_any,contaminated,decision_T,179857,24,338159,,
