instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
zs,2025-01,trades_all,corrected,decision_T,0,0,337844,0,0
zs,2025-01,trades_all,corrected,prev_row_B,78300,16,337844,,
zs,2025-01,trades_buy,corrected,decision_T,0,0,337844,0,0
zs,2025-01,trades_buy,corrected,prev_row_B,0,0,337844,,
zs,2025-01,trades_sell,corrected,decision_T,0,0,337844,0,0
zs,2025-01,trades_sell,corrected,prev_row_B,78300,16,337844,,
zs,2025-01,trades_large,corrected,decision_T,0,0,337844,0,0
zs,2025-01,trades_large,corrected,prev_row_B,17552,16,337844,,
zs,2025-01,trades_all,contaminated,decision_T,78300,16,337845,,
zs,2025-01,trades_buy,contaminated,decision_T,0,0,337845,,
zs,2025-01,trades_sell,contaminated,decision_T,78300,16,337845,,
zs,2025-01,trades_large,contaminated,decision_T,17552,16,337845,,
zs,2025-01,mbo_all,corrected,decision_T,0,0,337844,0,0
zs,2025-01,mbo_all,corrected,prev_row_B,210254,29,337844,,
zs,2025-01,mbo_bid_add,corrected,decision_T,0,0,337844,0,0
zs,2025-01,mbo_bid_add,corrected,prev_row_B,150676,3,337844,,
zs,2025-01,mbo_ask_add,corrected,decision_T,0,0,337844,0,0
zs,2025-01,mbo_ask_add,corrected,prev_row_B,144800,5,337844,,
zs,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,337844,0,0
zs,2025-01,mbo_bid_cancel,corrected,prev_row_B,137505,19,337844,,
zs,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,337844,0,0
zs,2025-01,mbo_ask_cancel,corrected,prev_row_B,131636,18,337844,,
zs,2025-01,mbo_cancel_any,corrected,decision_T,0,0,337844,0,0
zs,2025-01,mbo_cancel_any,corrected,prev_row_B,169487,20,337844,,
zs,2025-01,mbo_all,contaminated,decision_T,210254,29,337845,,
zs,2025-01,mbo_bid_add,contaminated,decision_T,150676,3,337845,,
zs,2025-01,mbo_ask_add,contaminated,decision_T,144800,5,337845,,
zs,2025-01,mbo_bid_cancel,contaminated,decision_T,137505,19,337845,,
zs,2025-01,mbo_ask_cancel,contaminated,decision_T,131636,18,337845,,
zs,2025-01,mbo_cancel_any,contaminated,decision_T,169487,20,337845,,
