instrument,month,class,side,boundary,strict,equal,rows
es,2025-01,trades_all,corrected,decision_T,0,0,605289
es,2025-01,trades_buy,corrected,decision_T,0,0,605289
es,2025-01,trades_sell,corrected,decision_T,0,0,605289
es,2025-01,trades_large,corrected,decision_T,0,0,605289
es,2025-01,mbo_all,corrected,decision_T,0,4,605289
es,2025-01,mbo_all_rows,corrected,decision_T,0,6,605289
es,2025-01,mbo_bid_add,corrected,decision_T,0,2,605289
es,2025-01,mbo_ask_add,corrected,decision_T,0,1,605289
es,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,605289
es,2025-01,mbo_ask_cancel,corrected,decision_T,0,1,605289
es,2025-01,mbo_cancel_any,corrected,decision_T,0,1,605289
es,2025-01,trades_all,corrected,prev_row_B,514323,1,605289
es,2025-01,trades_buy,corrected,prev_row_B,0,0,605289
es,2025-01,trades_sell,corrected,prev_row_B,514323,1,605289
es,2025-01,trades_large,corrected,prev_row_B,216349,0,605289
es,2025-01,mbo_all,corrected,prev_row_B,585940,248,605289
es,2025-01,mbo_all_rows,corrected,prev_row_B,587370,249,605289
es,2025-01,mbo_bid_add,corrected,prev_row_B,571405,97,605289
es,2025-01,mbo_ask_add,corrected,prev_row_B,571247,148,605289
es,2025-01,mbo_bid_cancel,corrected,prev_row_B,568448,1,605289
es,2025-01,mbo_ask_cancel,corrected,prev_row_B,568933,2,605289
es,2025-01,mbo_cancel_any,corrected,prev_row_B,579272,3,605289
es,2025-01,trades_all,contaminated,decision_T,514323,1,605290
es,2025-01,trades_buy,contaminated,decision_T,0,0,605290
es,2025-01,trades_sell,contaminated,decision_T,514323,1,605290
es,2025-01,trades_large,contaminated,decision_T,216349,0,605290
es,2025-01,mbo_all,contaminated,decision_T,585940,248,605290
es,2025-01,mbo_all_rows,contaminated,decision_T,587370,250,605290
es,2025-01,mbo_bid_add,contaminated,decision_T,571405,97,605290
es,2025-01,mbo_ask_add,contaminated,decision_T,571247,148,605290
es,2025-01,mbo_bid_cancel,contaminated,decision_T,568448,1,605290
es,2025-01,mbo_ask_cancel,contaminated,decision_T,568933,2,605290
es,2025-01,mbo_cancel_any,contaminated,decision_T,579272,3,605290
es,2025-08,trades_all,corrected,decision_T,0,0,546609
es,2025-08,trades_buy,corrected,decision_T,0,0,546609
es,2025-08,trades_sell,corrected,decision_T,0,0,546609
es,2025-08,trades_large,corrected,decision_T,0,0,546609
es,2025-08,mbo_all,corrected,decision_T,0,6,546609
es,2025-08,mbo_all_rows,corrected,decision_T,0,6,546609
es,2025-08,mbo_bid_add,corrected,decision_T,0,4,546609
es,2025-08,mbo_ask_add,corrected,decision_T,0,2,546609
es,2025-08,mbo_bid_cancel,corrected,decision_T,0,0,546609
es,2025-08,mbo_ask_cancel,corrected,decision_T,0,0,546609
es,2025-08,mbo_cancel_any,corrected,decision_T,0,0,546609
es,2025-08,trades_all,corrected,prev_row_B,424624,0,546609
es,2025-08,trades_buy,corrected,prev_row_B,0,0,546609
es,2025-08,trades_sell,corrected,prev_row_B,424624,0,546609
es,2025-08,trades_large,corrected,prev_row_B,186229,0,546609
es,2025-08,mbo_all,corrected,prev_row_B,524929,289,546609
es,2025-08,mbo_all_rows,corrected,prev_row_B,525628,289,546609
es,2025-08,mbo_bid_add,corrected,prev_row_B,513061,137,546609
es,2025-08,mbo_ask_add,corrected,prev_row_B,512005,152,546609
es,2025-08,mbo_bid_cancel,corrected,prev_row_B,511428,0,546609
es,2025-08,mbo_ask_cancel,corrected,prev_row_B,510248,0,546609
es,2025-08,mbo_cancel_any,corrected,prev_row_B,519749,0,546609
es,2025-08,trades_all,contaminated,decision_T,424624,0,546610
es,2025-08,trades_buy,contaminated,decision_T,0,0,546610
es,2025-08,trades_sell,contaminated,decision_T,424624,0,546610
es,2025-08,trades_large,contaminated,decision_T,186229,0,546610
es,2025-08,mbo_all,contaminated,decision_T,524929,290,546610
es,2025-08,mbo_all_rows,contaminated,decision_T,525628,290,546610
es,2025-08,mbo_bid_add,contaminated,decision_T,513061,138,546610
es,2025-08,mbo_ask_add,contaminated,decision_T,512005,152,546610
es,2025-08,mbo_bid_cancel,contaminated,decision_T,511428,0,546610
es,2025-08,mbo_ask_cancel,contaminated,decision_T,510248,0,546610
es,2025-08,mbo_cancel_any,contaminated,decision_T,519749,0,546610
nq,2025-01,trades_all,corrected,decision_T,0,0,598227
nq,2025-01,trades_buy,corrected,decision_T,0,0,598227
nq,2025-01,trades_sell,corrected,decision_T,0,0,598227
nq,2025-01,trades_large,corrected,decision_T,0,0,598227
nq,2025-01,trades_all,corrected,prev_row_B,543341,0,598227
nq,2025-01,trades_buy,corrected,prev_row_B,0,0,598227
nq,2025-01,trades_sell,corrected,prev_row_B,543341,0,598227
