inst,month,day_start_utc,day_end_utc,lattice_rows,corrected_rows,contaminated_rows,gap_rows,subsecond_spacing_rows,same_second_as_prev_rows,mbo_rows,mbo_builder_path,trades_secs,mbo_secs,total_secs,corrected_decisionT_nonzero_cells
es,2025-01,14,22,605290,605289,605290,269,6,6,264384448,LARGE,0.56,9.91,10.51,6
es,2025-08,14,22,546610,546609,546610,311,6,6,242687322,LARGE,0.4,8.59,9.04,4
nq,2025-01,14,22,598228,598227,598228,243,6,6,,,0.45,0.0,0.49,0
nq,2025-08,14,22,540531,540530,540531,285,7,7,,,0.44,0.0,0.5,0
cl,2025-01,13,22,801411,801410,801411,166344,166077,90007,59952975,LARGE,0.25,1.98,2.28,10
cl,2025-08,13,22,664077,664076,664077,95465,95143,50518,36231695,SMALL,0.17,2.14,2.36,9
gc,2025-01,13,22,761737,761736,761737,120974,120670,63896,43837550,SMALL,0.22,2.83,3.09,9
gc,2025-08,13,22,692042,692041,692042,139481,139135,74485,45430824,SMALL,0.24,2.4,2.69,9
zc,2025-01,14,19,338159,338158,338159,28,0,0,8272769,SMALL,0.08,0.49,0.6,0
zc,2025-08,14,19,554304,554303,554304,336106,335822,211450,5496482,SMALL,0.09,0.36,0.49,9
zs,2025-01,14,19,337845,337844,337845,28,0,0,12045330,SMALL,0.09,0.75,0.87,0
zs,2025-08,14,19,465382,465381,465382,223544,223309,132212,10710615,SMALL,0.1,0.58,0.72,9
he,2025-01,14,19,337489,337488,337489,22,1,1,2435324,SMALL,0.05,0.18,0.24,3
he,2025-08,14,19,308711,308710,308711,41,21,15,1609861,SMALL,0.05,0.14,0.2,5
le,2025-01,14,19,337494,337493,337494,24,1,1,3347829,SMALL,0.06,0.22,0.3,2
le,2025-08,14,19,308711,308710,308711,41,21,13,3488295,SMALL,0.06,0.21,0.28,6
