instrument,month,rows,same_second_rows,same_second_frac,gaps_gt_60s,runtime_s,corrected_rows,gap_rows_ne_1s,subsecond_spacing_rows
es,2025-01,605290,6,9.912620252474438e-6,263,9.96,605289,269,6
nq,2025-01,598228,6,0.00001002963757904608,237,0.68,598227,243,6
cl,2025-01,801411,90007,0.11231080221110293,267,2.3,801410,166344,166077
gc,2025-01,761737,63896,0.08388207988069357,267,3.06,761736,120974,120670
zc,2025-01,338159,0,0.0,28,0.78,338158,28,0
zs,2025-01,337845,0,0.0,28,0.9,337844,28,0
he,2025-01,337489,1,2.9630683165031053e-6,21,0.34,337488,22,1
le,2025-01,337494,1,2.963024418284231e-6,23,0.37,337493,24,1
es,2025-08,546610,6,0.000010976767671223855,305,7.9,546609,311,6
nq,2025-08,540531,7,0.000012950252529924333,278,0.59,540530,285,7
cl,2025-08,664077,50518,0.07607261819430307,322,1.92,664076,95465,95143
gc,2025-08,692042,74485,0.10763090626133423,346,3.17,692041,139481,139135
zc,2025-08,554304,211450,0.3814700624026931,284,0.55,554303,336106,335822
zs,2025-08,465382,132212,0.2840941078385237,235,1.09,465381,223544,223309
he,2025-08,308711,15,0.00004858929092028117,20,0.28,308710,41,21
le,2025-08,308711,13,0.00004211071879757702,20,0.36,308710,41,21
es,2025-09,553280,5,9.037031949522755e-6,204,6.67,553279,209,5
nq,2025-09,549431,5,9.100340352729193e-6,207,0.52,549430,212,5
cl,2025-09,687659,57375,0.08343537048940025,175,2.01,687658,110017,109840
gc,2025-09,734281,95508,0.13007027292041184,209,2.82,734280,181318,181109
zc,2025-09,580945,253014,0.43552218458233494,55,0.55,580944,398156,398101
zs,2025-09,429466,101796,0.23702979288184137,28,0.62,429465,179210,179182
he,2025-09,308702,14,0.000045351327012222185,20,0.2,308701,41,21
le,2025-09,308710,15,0.00004858944831540383,20,0.31,308709,41,21
es,2025-10,599190,5,8.344612467852381e-6,293,12.61,599189,298,5
nq,2025-10,590786,5,8.46331575784761e-6,284,0.75,590785,289,5
cl,2025-10,745570,73870,0.09907869023524316,346,2.05,745569,138617,138271
gc,2025-10,772448,93457,0.1209882360861004,331,4.51,772447,172553,172222
zc,2025-10,634446,265192,0.417990527153654,161,0.75,634445,424493,424332
zs,2025-10,508911,143072,0.28113418875636165,159,0.9,508910,250887,250728
he,2025-10,338111,17,0.00005027949483895774,22,0.27,338110,45,23
le,2025-10,338113,14,0.00004140639787999243,22,0.41,338112,45,23
es,2025-11,549424,3,5.460273778127235e-6,68,10.64,549423,72,4
nq,2025-11,550464,3,5.449957581163493e-6,75,0.59,550463,79,4
cl,2025-11,704000,71964,0.10222173611042061,64,2.5,703999,134751,134687
gc,2025-11,674039,49593,0.07357597049424514,126,2.69,674038,92108,91958
zc,2025-11,304506,0,0.0,18,0.44,304505,19,1
zs,2025-11,304506,0,0.0,18,0.68,304505,19,1
he,2025-11,304487,0,0.0,18,0.27,304486,19,1
le,2025-11,304492,0,0.0,18,0.33,304491,19,1
es,2025-12,620108,6,9.675749507746243e-6,22,8.02,620107,28,6
nq,2025-12,620108,6,9.675749507746243e-6,22,0.72,620107,28,6
cl,2025-12,768532,67426,0.08773361126616884,26,2.45,768531,124630,124604
gc,2025-12,772203,71097,0.09207046860795491,26,3.67,772202,132871,132845
zc,2025-12,353104,1,2.832034845356737e-6,21,0.49,353103,22,1
zs,2025-12,353104,0,0.0,21,0.61,353103,22,1
he,2025-12,353683,1,2.82739862362235e-6,21,0.23,353682,22,1
le,2025-12,353690,1,2.8273426654490245e-6,21,0.26,353689,22,1
