instrument,month,s10,e10,rows,sM5,eM5
cl,2025-01,53249,2194,801410,54341,2197
cl,2025-08,27852,1427,664076,27852,1427
es,2025-01,0,4,605289,0,6
es,2025-08,0,6,546609,0,6
gc,2025-01,37065,1853,761736,37065,1853
gc,2025-08,42886,1907,692041,42886,1907
he,2025-01,0,1,337488,0,1
he,2025-08,0,15,308710,0,15
le,2025-01,0,1,337493,0,1
le,2025-08,0,13,308710,0,13
nq,2025-01,0,0,598227,0,0
nq,2025-08,0,0,540530,0,0
zc,2025-01,0,0,338158,0,0
zc,2025-08,90868,2857,554303,90868,2857
zs,2025-01,0,0,337844,0,0
zs,2025-08,64404,2161,465381,64404,2161
