instrument,month,max_strict,max_equal,rows,argmax_strict,argmax_equal,classes_strict_gt0,classes_equal_gt0,classes_scored,max_strict_frac
cl,2025-01,534779,3205,801411,mbo_all,mbo_all,9,6,10,0.667297
cl,2025-08,406797,2469,664077,mbo_all,mbo_all,9,6,10,0.612575
cl,2025-09,414893,2277,687659,mbo_all,mbo_all,9,8,10,0.603341
cl,2025-10,493760,2981,745570,mbo_all,mbo_all,9,8,10,0.662258
cl,2025-11,497360,2466,704000,mbo_all,mbo_all,9,6,10,0.706477
cl,2025-12,454867,2740,768532,mbo_all,mbo_all,9,8,10,0.591865
es,2025-01,585940,248,605290,mbo_all,mbo_all,9,8,10,0.968032
es,2025-08,524929,290,546610,mbo_all,mbo_all,9,3,10,0.960336
es,2025-09,532496,188,553280,mbo_all,mbo_all,9,6,10,0.962435
es,2025-10,576377,275,599190,mbo_all,mbo_all,9,7,10,0.961927
es,2025-11,542495,51,549424,mbo_all,mbo_all,9,8,10,0.987389
es,2025-12,613447,7,620108,mbo_all,mbo_all,9,5,10,0.989258
gc,2025-01,523228,2713,761737,mbo_all,mbo_all,9,9,10,0.686888
gc,2025-08,461530,2865,692042,mbo_all,mbo_all,9,6,10,0.66691
gc,2025-09,515322,3369,734281,mbo_all,mbo_all,9,6,10,0.701805
gc,2025-10,646575,3732,772448,mbo_all,mbo_all,9,8,10,0.837047
gc,2025-11,470500,2670,674039,mbo_all,mbo_all,9,8,10,0.698031
gc,2025-12,604763,2890,772203,mbo_all,mbo_all,9,6,10,0.783166
he,2025-01,132122,2,337489,mbo_all,mbo_all,9,3,10,0.391485
he,2025-08,100848,21,308711,mbo_all,mbo_all,9,6,10,0.326674
he,2025-09,88859,21,308702,mbo_all,mbo_all,9,6,10,0.287847
he,2025-10,106120,23,338111,mbo_all,mbo_all,9,8,10,0.313861
he,2025-11,108223,1,304487,mbo_all,mbo_all,9,4,10,0.355427
he,2025-12,127766,1,353683,mbo_all,mbo_all,9,4,10,0.361244
le,2025-01,140720,4,337494,mbo_all,mbo_all,9,5,10,0.416956
le,2025-08,119867,21,308711,mbo_all,mbo_all,9,8,10,0.388282
le,2025-09,126122,21,308710,mbo_all,mbo_all,9,8,10,0.408545
le,2025-10,125589,23,338113,mbo_all,mbo_all,9,8,10,0.371441
le,2025-11,77483,1,304492,mbo_all,mbo_all,9,4,10,0.254466
le,2025-12,90032,1,353690,mbo_all,mbo_all,9,4,10,0.254551
nq,2025-01,543341,0,598228,trades_all,trades_all,3,0,4,0.908251
nq,2025-08,470095,0,540531,trades_all,trades_all,3,0,4,0.869691
nq,2025-09,455826,0,549431,trades_all,trades_all,3,0,4,0.829633
nq,2025-10,524165,0,590786,trades_all,trades_all,3,0,4,0.887233
nq,2025-11,494380,0,550464,trades_all,trades_all,3,0,4,0.898115
nq,2025-12,525629,0,620108,trades_all,trades_all,3,0,4,0.847641
zc,2025-01,254315,29,338159,mbo_all,mbo_all,9,9,10,0.752057
zc,2025-08,314170,3210,554304,mbo_all,mbo_all,9,8,10,0.566783
zc,2025-09,344076,2771,580945,mbo_all,mbo_all,9,8,10,0.592269
zc,2025-10,342560,3327,634446,mbo_all,mbo_all,9,9,10,0.539936
zc,2025-11,163822,20,304506,mbo_all,mbo_all,9,8,10,0.537993
zc,2025-12,222940,23,353104,mbo_all,mbo_all,9,8,10,0.631372
zs,2025-01,210254,29,337845,mbo_all,mbo_all,9,9,10,0.622339
zs,2025-08,296502,2725,465382,mbo_all,mbo_all,9,8,10,0.637115
zs,2025-09,268482,2462,429466,mbo_all,mbo_all,9,6,10,0.625153
zs,2025-10,296861,2949,508911,mbo_all,mbo_all,9,6,10,0.583326
zs,2025-11,185931,20,304506,mbo_all,mbo_all,9,9,10,0.610599
zs,2025-12,222557,23,353104,mbo_all,mbo_all,9,9,10,0.630287
