instrument,month,max_strict,max_equal,rows,argmax_strict,argmax_equal,classes_strict_gt0,classes_equal_gt0,classes_scored,max_strict_frac
cl,2025-01,53249,2194,801410,mbo_all,mbo_all,9,6,10,0.066444
cl,2025-08,27852,1427,664076,mbo_all,mbo_all,9,6,10,0.041941
cl,2025-09,34010,1388,687658,mbo_all,mbo_all,9,8,10,0.049458
cl,2025-10,42377,1893,745569,mbo_all,mbo_all,9,8,10,0.056838
cl,2025-11,48607,1680,703999,mbo_all,mbo_all,9,6,10,0.069044
cl,2025-12,38945,1985,768531,mbo_all,mbo_all,9,8,10,0.050675
es,2025-01,0,4,605289,trades_all,mbo_all,0,5,10,0.0
es,2025-08,0,6,546609,trades_all,mbo_all,0,3,10,0.0
es,2025-09,0,5,553279,trades_all,mbo_all,0,5,10,0.0
es,2025-10,0,4,599189,trades_all,mbo_all,0,7,10,0.0
es,2025-11,0,3,549423,trades_all,mbo_all,0,6,10,0.0
es,2025-12,0,6,620107,trades_all,mbo_all,0,5,10,0.0
gc,2025-01,37065,1853,761736,mbo_all,mbo_all,9,8,10,0.048659
gc,2025-08,42886,1907,692041,mbo_all,mbo_all,9,6,10,0.06197
gc,2025-09,59691,2053,734280,mbo_all,mbo_all,9,6,10,0.081292
gc,2025-10,71584,2588,772447,mbo_all,mbo_all,9,6,10,0.092672
gc,2025-11,30577,1686,674038,mbo_all,mbo_all,9,8,10,0.045364
gc,2025-12,49649,1793,772202,mbo_all,mbo_all,9,6,10,0.064295
he,2025-01,0,1,337488,trades_all,mbo_all,0,3,10,0.0
he,2025-08,0,15,308710,trades_all,mbo_all,0,5,10,0.0
he,2025-09,0,14,308701,trades_all,mbo_all,0,6,10,0.0
he,2025-10,0,17,338110,trades_all,mbo_all,0,6,10,0.0
he,2025-11,0,0,304486,trades_all,trades_all,0,0,10,0.0
he,2025-12,0,1,353682,trades_all,mbo_all,0,4,10,0.0
le,2025-01,0,1,337493,trades_all,mbo_all,0,2,10,0.0
le,2025-08,0,13,308710,trades_all,mbo_all,0,6,10,0.0
le,2025-09,0,15,308709,trades_all,mbo_all,0,5,10,0.0
le,2025-10,0,14,338112,trades_all,mbo_all,0,6,10,0.0
le,2025-11,0,0,304491,trades_all,trades_all,0,0,10,0.0
le,2025-12,0,1,353689,trades_all,mbo_all,0,4,10,0.0
nq,2025-01,0,0,598227,trades_all,trades_all,0,0,4,0.0
nq,2025-08,0,0,540530,trades_all,trades_all,0,0,4,0.0
nq,2025-09,0,0,549430,trades_all,trades_all,0,0,4,0.0
nq,2025-10,0,0,590785,trades_all,trades_all,0,0,4,0.0
nq,2025-11,0,0,550463,trades_all,trades_all,0,0,4,0.0
nq,2025-12,0,0,620107,trades_all,trades_all,0,0,4,0.0
zc,2025-01,0,0,338158,trades_all,trades_all,0,0,10,0.0
zc,2025-08,90868,2857,554303,mbo_all,mbo_all,9,8,10,0.163932
zc,2025-09,111334,2640,580944,mbo_all,mbo_all,9,8,10,0.191643
zc,2025-10,109332,2873,634445,mbo_all,mbo_all,9,9,10,0.172327
zc,2025-11,0,0,304505,trades_all,trades_all,0,0,10,0.0
zc,2025-12,0,1,353103,trades_all,mbo_all,0,4,10,0.0
zs,2025-01,0,0,337844,trades_all,trades_all,0,0,10,0.0
zs,2025-08,64404,2161,465381,mbo_all,mbo_all,9,8,10,0.13839
zs,2025-09,45255,2281,429465,mbo_all,mbo_all,9,6,10,0.105375
zs,2025-10,60559,2353,508910,mbo_all,mbo_all,9,6,10,0.118997
zs,2025-11,0,0,304505,trades_all,trades_all,0,0,10,0.0
zs,2025-12,0,0,353103,trades_all,trades_all,0,0,10,0.0
