instrument,month,generation,path,total_rows,native_blocks,overlapping_block_pairs,max_rows_per_timestamp,duplicate_timestamps,filtered_rows,filtered_distinct_seconds,filtered_max_rows_per_second,filtered_excess_rows
cl,2025-01,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-01.parquet,1939381,19,18,5,12021,801411,711404,5,90007
cl,2025-08,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-08.parquet,1809537,17,16,5,4160,664077,613559,5,50518
cl,2025-09,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-09.parquet,1885641,18,17,5,3857,687659,630284,5,57375
cl,2025-10,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-10.parquet,2004152,19,18,5,7794,745570,671700,5,73870
cl,2025-11,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-11.parquet,1695341,17,16,5,6414,704000,632036,5,71964
cl,2025-12,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-12.parquet,1914834,19,18,5,11046,768532,701106,5,67426
es,2025-01,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-01.parquet,1811402,1,0,2,1,605290,605284,2,6
es,2025-08,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-08.parquet,1757598,1,0,2,4,546610,546604,2,6
es,2025-09,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-09.parquet,1820483,1,0,1,0,553280,553275,2,5
es,2025-10,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-10.parquet,1925583,1,0,2,1,599190,599185,2,5
es,2025-11,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-11.parquet,1603105,1,0,1,0,549424,549421,2,3
es,2025-12,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-12.parquet,1818509,1,0,1,0,620108,620102,2,6
gc,2025-01,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-01.parquet,1884670,19,18,5,6219,761737,697841,5,63896
gc,2025-08,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-08.parquet,1851278,17,16,5,8042,692042,617557,5,74485
gc,2025-09,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-09.parquet,1955995,18,17,5,9044,734281,638773,5,95508
gc,2025-10,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-10.parquet,2048494,19,18,5,14710,772448,678991,5,93457
gc,2025-11,v3_pre_gapfill_FIXTURE_PATH,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-11.parquet,1666570,17,16,5,8678,674039,624446,5,49593
