instrument,month,location_family,rel_path,abs_path,size_bytes,mtime_utc,sha256,md5,day_start_utc,day_end_utc,total_rows,filtered_rows,ts_min_ns,ts_max_ns,subsecond_spacing_rows,nonexact_1s_gap_rows,n_columns,generation,is_fixture_path,manifest_by_path,manifest_line,manifest_md5,manifest_status,manifest_by_md5,native_blocks,overlapping_block_pairs,max_rows_per_timestamp,duplicate_timestamps,filtered_distinct_seconds,filtered_max_rows_per_second,filtered_excess_rows
cl,2025-01,E_pc2_transfer_processed,pc2_transfer/processed/cl/cl_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\cl\cl_snapshots_2025-01.parquet,35427254,2026-04-01T15:01:23Z,9a5b415d82602602564a9f0de52d488df548ed46b8f1b0340575eb63a4b3a93d,c70ca803621e01769bdcc892f1cf3013,13,22,1939381,801411,1735477206108419541,1738360799693686031,166077,166344,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
cl,2025-01,A_processed_FIXTURE_PATH,processed/cl/cl_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-01.parquet,35427254,2026-04-01T15:01:23Z,9a5b415d82602602564a9f0de52d488df548ed46b8f1b0340575eb63a4b3a93d,c70ca803621e01769bdcc892f1cf3013,13,22,1939381,801411,1735477206108419541,1738360799693686031,166077,166344,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",19,18,5,12021,711404,5,90007
cl,2025-01,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\cl\v4_gapfill\cl_snapshots_2025-01.parquet,32517483,2026-04-17T09:12:04Z,e8ae4da74da3123e3119606d7132fd251bec7c74b5c056557ca4c274af0b47f3,d68d617ca9b4bab6e975005426613173,13,22,1778401,680400,1735822800125450863,1738360799509336475,0,20,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,32,d68d617ca9b4bab6e975005426613173,MATCH,PC2_TRANSFER_v4/manifest.csv:L32->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-01.parquet; PC2_TRANSFER_v4/manifest.csv:L32->processed/cl/v4_gapfill/cl_snapshots_2025-01.parquet,,,,,,,
cl,2025-01,B_processed_v4_gapfill,processed/cl/v4_gapfill/cl_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-01.parquet,32517483,2026-04-17T09:12:04Z,e8ae4da74da3123e3119606d7132fd251bec7c74b5c056557ca4c274af0b47f3,d68d617ca9b4bab6e975005426613173,13,22,1778401,680400,1735822800125450863,1738360799509336475,0,20,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,32,d68d617ca9b4bab6e975005426613173,MATCH,PC2_TRANSFER_v4/manifest.csv:L32->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-01.parquet; PC2_TRANSFER_v4/manifest.csv:L32->processed/cl/v4_gapfill/cl_snapshots_2025-01.parquet,1,0,1,0,680400,1,0
cl,2025-08,E_pc2_transfer_processed,pc2_transfer/processed/cl/cl_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\cl\cl_snapshots_2025-08.parquet,28999214,2026-04-01T16:06:00Z,269835faf6a4226fe74dd8f5e780f5bb93639ebb5cea07b6d8039c47382ed0d2,101ed47c1161f7b8670d3b5dadf4f5cb,13,22,1809537,664077,1753650150282649473,1756501199924267555,95143,95465,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
cl,2025-08,A_processed_FIXTURE_PATH,processed/cl/cl_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-08.parquet,28999214,2026-04-01T16:06:00Z,269835faf6a4226fe74dd8f5e780f5bb93639ebb5cea07b6d8039c47382ed0d2,101ed47c1161f7b8670d3b5dadf4f5cb,13,22,1809537,664077,1753650150282649473,1756501199924267555,95143,95465,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",17,16,5,4160,613559,5,50518
cl,2025-08,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\cl\v4_gapfill\cl_snapshots_2025-08.parquet,28419018,2026-04-17T09:32:57Z,34fe3bcab1457a35f74b324a7c27ba7cd39d9968cdb38c98d9ecd5e08ef20926,4edc95427a5302e510f5b5a5b7f9ce16,13,22,1760403,662408,1754053200000050173,1756501200080007849,5,25,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,39,4edc95427a5302e510f5b5a5b7f9ce16,MATCH,PC2_TRANSFER_v4/manifest.csv:L39->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-08.parquet; PC2_TRANSFER_v4/manifest.csv:L39->processed/cl/v4_gapfill/cl_snapshots_2025-08.parquet,,,,,,,
cl,2025-08,B_processed_v4_gapfill,processed/cl/v4_gapfill/cl_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-08.parquet,28419018,2026-04-17T09:32:57Z,34fe3bcab1457a35f74b324a7c27ba7cd39d9968cdb38c98d9ecd5e08ef20926,4edc95427a5302e510f5b5a5b7f9ce16,13,22,1760403,662408,1754053200000050173,1756501200080007849,5,25,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,39,4edc95427a5302e510f5b5a5b7f9ce16,MATCH,PC2_TRANSFER_v4/manifest.csv:L39->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-08.parquet; PC2_TRANSFER_v4/manifest.csv:L39->processed/cl/v4_gapfill/cl_snapshots_2025-08.parquet,1,0,1,0,662404,2,4
cl,2025-09,E_pc2_transfer_processed,pc2_transfer/processed/cl/cl_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\cl\cl_snapshots_2025-09.parquet,29032991,2026-04-01T16:13:40Z,1beb3302bc8a3814c23bc9de40586dee6d4013c84c9ddb95817f91168a8b45d3,aaf45f5e13b0a44d36c427982b038ec7,13,22,1885641,687659,1756674060001549277,1759265999966967781,109840,110017,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
cl,2025-09,A_processed_FIXTURE_PATH,processed/cl/cl_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-09.parquet,29032991,2026-04-01T16:13:40Z,1beb3302bc8a3814c23bc9de40586dee6d4013c84c9ddb95817f91168a8b45d3,aaf45f5e13b0a44d36c427982b038ec7,13,22,1885641,687659,1756674060001549277,1759265999966967781,109840,110017,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",18,17,5,3857,630284,5,57375
