instrument,month,view,hour_utc,same_second_pairs
zc,2025-01,FULL_v3_pregapfill,13,1
zc,2025-01,FULL_v3_pregapfill,19,19
zc,2025-08,FULL_v3_pregapfill,0,7346
zc,2025-08,FULL_v3_pregapfill,1,1584
zc,2025-08,FULL_v3_pregapfill,2,1094
zc,2025-08,FULL_v3_pregapfill,3,622
zc,2025-08,FULL_v3_pregapfill,4,1374
zc,2025-08,FULL_v3_pregapfill,5,408
zc,2025-08,FULL_v3_pregapfill,6,1273
zc,2025-08,FULL_v3_pregapfill,7,1050
zc,2025-08,FULL_v3_pregapfill,8,624
zc,2025-08,FULL_v3_pregapfill,9,987
zc,2025-08,FULL_v3_pregapfill,10,1632
zc,2025-08,FULL_v3_pregapfill,11,2405
zc,2025-08,FULL_v3_pregapfill,12,7358
zc,2025-08,FULL_v3_pregapfill,13,27945
zc,2025-08,FULL_v3_pregapfill,14,47518
zc,2025-08,FULL_v3_pregapfill,15,49132
zc,2025-08,FULL_v3_pregapfill,16,49515
zc,2025-08,FULL_v3_pregapfill,17,45165
zc,2025-08,FULL_v3_pregapfill,18,20120
zc,2025-08,FULL_v3_pregapfill,19,8008
zc,2025-08,FULL_v3_pregapfill,20,8880
zc,2025-08,FULL_v3_pregapfill,21,6954
zc,2025-08,FULL_v3_pregapfill,22,3753
zc,2025-08,FULL_v3_pregapfill,23,2659
zc,2025-08,FILTERED_v3_pregapfill,14,47518
zc,2025-08,FILTERED_v3_pregapfill,15,49132
zc,2025-08,FILTERED_v3_pregapfill,16,49515
zc,2025-08,FILTERED_v3_pregapfill,17,45165
zc,2025-08,FILTERED_v3_pregapfill,18,20120
zc,2025-11,FULL_v3_pregapfill,19,14
zs,2025-01,FULL_v3_pregapfill,19,16
zs,2025-08,FULL_v3_pregapfill,0,4463
zs,2025-08,FULL_v3_pregapfill,1,1414
zs,2025-08,FULL_v3_pregapfill,2,975
zs,2025-08,FULL_v3_pregapfill,3,1822
zs,2025-08,FULL_v3_pregapfill,4,454
zs,2025-08,FULL_v3_pregapfill,5,1582
zs,2025-08,FULL_v3_pregapfill,6,1051
zs,2025-08,FULL_v3_pregapfill,7,436
zs,2025-08,FULL_v3_pregapfill,8,1711
zs,2025-08,FULL_v3_pregapfill,9,2851
zs,2025-08,FULL_v3_pregapfill,10,914
zs,2025-08,FULL_v3_pregapfill,11,2313
zs,2025-08,FULL_v3_pregapfill,12,3393
zs,2025-08,FULL_v3_pregapfill,13,23565
zs,2025-08,FULL_v3_pregapfill,14,35568
zs,2025-08,FULL_v3_pregapfill,15,28406
zs,2025-08,FULL_v3_pregapfill,16,28296
zs,2025-08,FULL_v3_pregapfill,17,25393
zs,2025-08,FULL_v3_pregapfill,18,14549
zs,2025-08,FULL_v3_pregapfill,19,8717
zs,2025-08,FULL_v3_pregapfill,20,3797
zs,2025-08,FULL_v3_pregapfill,21,3774
zs,2025-08,FULL_v3_pregapfill,22,2243
zs,2025-08,FULL_v3_pregapfill,23,2734
zs,2025-08,FILTERED_v3_pregapfill,14,35568
zs,2025-08,FILTERED_v3_pregapfill,15,28406
zs,2025-08,FILTERED_v3_pregapfill,16,28296
zs,2025-08,FILTERED_v3_pregapfill,17,25393
zs,2025-08,FILTERED_v3_pregapfill,18,14549
gc,2025-01,FULL_v3_pregapfill,0,845
gc,2025-01,FULL_v3_pregapfill,1,599
gc,2025-01,FULL_v3_pregapfill,2,404
gc,2025-01,FULL_v3_pregapfill,3,615
gc,2025-01,FULL_v3_pregapfill,4,506
gc,2025-01,FULL_v3_pregapfill,5,273
gc,2025-01,FULL_v3_pregapfill,6,652
gc,2025-01,FULL_v3_pregapfill,7,556
gc,2025-01,FULL_v3_pregapfill,8,1083
gc,2025-01,FULL_v3_pregapfill,9,822
gc,2025-01,FULL_v3_pregapfill,10,552
gc,2025-01,FULL_v3_pregapfill,11,567
gc,2025-01,FULL_v3_pregapfill,12,1356
gc,2025-01,FULL_v3_pregapfill,13,4983
gc,2025-01,FULL_v3_pregapfill,14,6464
gc,2025-01,FULL_v3_pregapfill,15,8191
gc,2025-01,FULL_v3_pregapfill,16,8443
gc,2025-01,FULL_v3_pregapfill,17,6534
gc,2025-01,FULL_v3_pregapfill,18,8272
gc,2025-01,FULL_v3_pregapfill,19,6268
gc,2025-01,FULL_v3_pregapfill,20,7212
gc,2025-01,FULL_v3_pregapfill,21,7529
gc,2025-01,FULL_v3_pregapfill,22,941
gc,2025-01,FULL_v3_pregapfill,23,866
gc,2025-01,FILTERED_v3_pregapfill,13,4983
