instrument,month,view,path,rows,days,same_second_pairs,ss_day_last_row,ss_gap_adjacent,ss_day_last_or_gap,ss_elsewhere,dt_eq_0ns,dt_lt_1ms,dt_1ms_to_100ms,dt_100ms_to_1s,dt_eq_1s,dt_1s_to_60s,dt_gt_60s
zc,2025-01,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-01.parquet,1262191,22,20,20,19,20,0,1,0,1,20,1261724,0,444
zc,2025-01,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-01.parquet,338159,21,0,0,0,0,0,0,0,0,0,338130,0,28
zc,2025-08,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-08.parquet,1666968,30,297406,5,748,749,296657,101650,1501,42608,313281,1205369,1,2557
zc,2025-08,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-08.parquet,554304,26,211450,20,24,25,211425,57498,740,31667,245917,218197,0,284
zc,2025-11,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-11.parquet,1110050,19,14,14,14,14,0,0,0,1,18,1109414,0,616
zc,2025-11,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-11.parquet,304506,19,0,0,0,0,0,0,0,1,0,304486,0,18
zs,2025-01,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\zs_snapshots_2025-01.parquet,1275375,21,16,16,16,16,0,1,0,1,19,1275175,0,178
zs,2025-01,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\zs_snapshots_2025-01.parquet,337845,21,0,0,0,0,0,0,0,0,0,337816,0,28
zs,2025-08,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\zs_snapshots_2025-08.parquet,1597846,30,200421,5,551,552,199869,56271,1254,35440,233787,1269098,1,1994
zs,2025-08,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\zs_snapshots_2025-08.parquet,465382,26,132212,16,23,24,132188,26980,766,25789,169774,241837,0,235
gc,2025-01,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-01.parquet,1884670,30,74533,5,289,290,74243,8190,86,13429,117056,1745408,42,458
gc,2025-01,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-01.parquet,761737,29,63896,24,176,177,63719,5354,84,11497,103735,640762,37,267
gc,2025-08,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-08.parquet,1851278,30,97963,5,72,73,97890,13103,223,16574,149609,1671306,0,462
gc,2025-08,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-08.parquet,692042,29,74485,5,66,67,74418,7118,199,12806,119012,552560,0,346
cl,2025-01,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-01.parquet,1939381,30,110338,6,425,426,109912,15093,459,20077,165560,1737756,0,435
cl,2025-01,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-01.parquet,801411,29,90007,23,308,309,89698,9977,455,17841,137804,635066,0,267
es,2025-01,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-01.parquet,1811402,30,30,30,7,30,0,1,0,3,26,1810803,22,546
es,2025-01,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-01.parquet,605290,24,6,6,5,6,0,0,0,0,6,605020,0,263
es,2025-08,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-08.parquet,1757598,30,25,25,8,25,0,4,0,0,26,1757150,21,396
es,2025-08,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-08.parquet,546610,30,6,6,5,6,0,1,0,0,5,546298,0,305
he,2025-08,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-08.parquet,346496,21,15,15,15,15,0,0,0,1,20,346454,0,20
he,2025-08,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-08.parquet,308711,21,15,15,15,15,0,0,0,1,20,308669,0,20
le,2025-08,FULL_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-08.parquet,346498,21,13,13,13,13,0,0,0,1,20,346456,0,20
le,2025-08,FILTERED_v3_pregapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-08.parquet,308711,21,13,13,13,13,0,0,0,1,20,308669,0,20
zc,2025-01,FULL_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-01.parquet,1346274,21,14,14,14,14,0,0,0,1,20,1346232,0,20
zc,2025-01,FILTERED_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-01.parquet,378000,21,0,0,0,0,0,0,0,0,0,377979,0,20
zc,2025-08,FULL_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-08.parquet,1712400,21,21,21,4,21,0,0,0,0,21,1712358,16,4
zc,2025-08,FILTERED_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-08.parquet,366005,21,5,5,4,5,0,0,0,0,5,365979,0,20
zs,2025-08,FULL_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-08.parquet,1712400,21,21,21,4,21,0,0,0,0,21,1712358,16,4
zs,2025-08,FILTERED_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-08.parquet,366005,21,5,5,4,5,0,0,0,0,5,365979,0,20
gc,2025-01,FULL_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-01.parquet,1778393,21,21,21,4,21,0,0,0,6,15,1778351,16,4
gc,2025-01,FILTERED_v4_gapfill,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-01.parquet,680400,21,0,0,0,0,0,0,0,0,0,680379,0,20
