instrument,month,rows,corrected_rows,cohort_size,nonmonotonic_rows,floor_decreasing_rows,runtime_s
es,2025-01,605290,605289,6,0,0,4.91
nq,2025-01,598228,598227,6,0,0,0.56
cl,2025-01,801411,801410,90007,0,0,1.67
gc,2025-01,761737,761736,63896,0,0,2.69
zc,2025-01,338159,338158,0,0,0,0.56
zs,2025-01,337845,337844,0,0,0,0.78
he,2025-01,337489,337488,1,0,0,0.24
le,2025-01,337494,337493,1,0,0,0.26
es,2025-08,546610,546609,6,0,0,4.66
nq,2025-08,540531,540530,7,0,0,0.48
cl,2025-08,664077,664076,50518,0,0,1.74
gc,2025-08,692042,692041,74485,0,0,3.07
zc,2025-08,554304,554303,211450,0,0,0.41
zs,2025-08,465382,465381,132212,0,0,0.67
he,2025-08,308711,308710,15,0,0,0.14
le,2025-08,308711,308710,13,0,0,0.22
es,2025-09,553280,553279,5,0,0,4.46
nq,2025-09,549431,549430,5,0,0,0.48
cl,2025-09,687659,687658,57375,0,0,1.97
gc,2025-09,734281,734280,95508,0,0,1.9
zc,2025-09,580945,580944,253014,0,0,0.4
zs,2025-09,429466,429465,101796,0,0,0.51
he,2025-09,308702,308701,14,0,0,0.14
le,2025-09,308710,308709,15,0,0,0.23
es,2025-10,599190,599189,5,0,0,6.16
nq,2025-10,590786,590785,5,0,0,0.51
cl,2025-10,745570,745569,73870,0,0,1.32
gc,2025-10,772448,772447,93457,0,0,2.91
zc,2025-10,634446,634445,265192,0,0,0.5
zs,2025-10,508911,508910,143072,0,0,0.69
he,2025-10,338111,338110,17,0,0,0.15
le,2025-10,338113,338112,14,0,0,0.3
es,2025-11,549424,549423,3,0,0,6.09
nq,2025-11,550464,550463,3,0,0,0.51
cl,2025-11,704000,703999,71964,0,0,2.12
gc,2025-11,674039,674038,49593,0,0,1.83
zc,2025-11,304506,304505,0,0,0,0.4
zs,2025-11,304506,304505,0,0,0,0.58
he,2025-11,304487,304486,0,0,0,0.15
le,2025-11,304492,304491,0,0,0,0.26
es,2025-12,620108,620107,6,0,0,5.34
nq,2025-12,620108,620107,6,0,0,0.43
cl,2025-12,768532,768531,67426,0,0,1.85
gc,2025-12,772203,772202,71097,0,0,2.26
zc,2025-12,353104,353103,1,0,0,0.39
zs,2025-12,353104,353103,0,0,0,0.48
he,2025-12,353683,353682,1,0,0,0.17
le,2025-12,353690,353689,1,0,0,0.16
