instrument,month,max_ss_viol_any_class,cohort_size,LOWERBOUND_cohort_rows_violating_in_some_class,UPPERBOUND_cohort_rows_violating_in_no_class
cl,2025-01,54341,90007,54341,35666
es,2025-01,0,6,0,6
gc,2025-01,37065,63896,37065,26831
he,2025-01,0,1,0,1
le,2025-01,0,1,0,1
nq,2025-01,0,6,0,6
zc,2025-01,0,0,0,0
zs,2025-01,0,0,0,0
cl,2025-08,27852,50518,27852,22666
es,2025-08,0,6,0,6
gc,2025-08,42886,74485,42886,31599
he,2025-08,0,15,0,15
le,2025-08,0,13,0,13
nq,2025-08,0,7,0,7
zc,2025-08,90868,211450,90868,120582
zs,2025-08,64404,132212,64404,67808
cl,2025-09,34010,57375,34010,23365
es,2025-09,0,5,0,5
gc,2025-09,61023,95508,61023,34485
he,2025-09,0,14,0,14
le,2025-09,0,15,0,15
nq,2025-09,0,5,0,5
zc,2025-09,111334,253014,111334,141680
zs,2025-09,45255,101796,45255,56541
cl,2025-10,43380,73870,43380,30490
es,2025-10,0,5,0,5
gc,2025-10,72537,93457,72537,20920
he,2025-10,0,17,0,17
le,2025-10,0,14,0,14
nq,2025-10,0,5,0,5
zc,2025-10,109332,265192,109332,155860
zs,2025-10,60559,143072,60559,82513
cl,2025-11,48607,71964,48607,23357
es,2025-11,0,3,0,3
gc,2025-11,31218,49593,31218,18375
he,2025-11,0,0,0,0
le,2025-11,0,0,0,0
nq,2025-11,0,3,0,3
zc,2025-11,0,0,0,0
zs,2025-11,0,0,0,0
cl,2025-12,38945,67426,38945,28481
es,2025-12,0,6,0,6
gc,2025-12,50580,71097,50580,20517
he,2025-12,0,1,0,1
le,2025-12,0,1,0,1
nq,2025-12,0,6,0,6
zc,2025-12,0,1,0,1
zs,2025-12,0,0,0,0
