shape: (168, 8)
┌────────────┬─────────┬────────────────┬─────────────┬──────────────────┬────────────────┬─────────────┬───────────────────┐
│ instrument ┆ month   ┆ class          ┆ strict_viol ┆ same_second_viol ┆ exception_viol ┆ cohort_size ┆ nonviol_in_cohort │
│ ---        ┆ ---     ┆ ---            ┆ ---         ┆ ---              ┆ ---            ┆ ---         ┆ ---               │
│ str        ┆ str     ┆ str            ┆ i64         ┆ i64              ┆ i64            ┆ i64         ┆ i64               │
╞════════════╪═════════╪════════════════╪═════════════╪══════════════════╪════════════════╪═════════════╪═══════════════════╡
│ cl         ┆ 2025-01 ┆ mbo_all        ┆ 53249       ┆ 53249            ┆ 0              ┆ 90007       ┆ 36758             │
│ cl         ┆ 2025-01 ┆ mbo_all_rows   ┆ 54341       ┆ 54341            ┆ 0              ┆ 90007       ┆ 35666             │
│ cl         ┆ 2025-01 ┆ mbo_ask_add    ┆ 40435       ┆ 40435            ┆ 0              ┆ 90007       ┆ 49572             │
│ cl         ┆ 2025-01 ┆ mbo_ask_cancel ┆ 39559       ┆ 39559            ┆ 0              ┆ 90007       ┆ 50448             │
│ cl         ┆ 2025-01 ┆ mbo_bid_add    ┆ 40600       ┆ 40600            ┆ 0              ┆ 90007       ┆ 49407             │
│ cl         ┆ 2025-01 ┆ mbo_bid_cancel ┆ 39581       ┆ 39581            ┆ 0              ┆ 90007       ┆ 50426             │
│ cl         ┆ 2025-01 ┆ mbo_cancel_any ┆ 46643       ┆ 46643            ┆ 0              ┆ 90007       ┆ 43364             │
│ cl         ┆ 2025-01 ┆ trades_all     ┆ 21770       ┆ 21770            ┆ 0              ┆ 90007       ┆ 68237             │
│ cl         ┆ 2025-01 ┆ trades_large   ┆ 1594        ┆ 1594             ┆ 0              ┆ 90007       ┆ 88413             │
│ cl         ┆ 2025-01 ┆ trades_sell    ┆ 21770       ┆ 21770            ┆ 0              ┆ 90007       ┆ 68237             │
│ gc         ┆ 2025-01 ┆ mbo_all        ┆ 37065       ┆ 37065            ┆ 0              ┆ 63896       ┆ 26831             │
│ gc         ┆ 2025-01 ┆ mbo_ask_add    ┆ 25919       ┆ 25919            ┆ 0              ┆ 63896       ┆ 37977             │
│ gc         ┆ 2025-01 ┆ mbo_ask_cancel ┆ 24993       ┆ 24993            ┆ 0              ┆ 63896       ┆ 38903             │
│ gc         ┆ 2025-01 ┆ mbo_bid_add    ┆ 26290       ┆ 26290            ┆ 0              ┆ 63896       ┆ 37606             │
│ gc         ┆ 2025-01 ┆ mbo_bid_cancel ┆ 25095       ┆ 25095            ┆ 0              ┆ 63896       ┆ 38801             │
│ gc         ┆ 2025-01 ┆ mbo_cancel_any ┆ 30403       ┆ 30403            ┆ 0              ┆ 63896       ┆ 33493             │
│ gc         ┆ 2025-01 ┆ trades_all     ┆ 13907       ┆ 13907            ┆ 0              ┆ 63896       ┆ 49989             │
│ gc         ┆ 2025-01 ┆ trades_large   ┆ 267         ┆ 267              ┆ 0              ┆ 63896       ┆ 63629             │
│ gc         ┆ 2025-01 ┆ trades_sell    ┆ 13907       ┆ 13907            ┆ 0              ┆ 63896       ┆ 49989             │
