instrument,month,class,strict_viol,same_second_viol,exception_viol,cohort_size,nonviol_in_cohort,corrected_rows,noncohort_rows_with_absorbed_events,max_ts_event_minus_T_outside_cohort_ns
es,2025-01,trades_all,0,0,0,6,6,605289,514668,-10404
es,2025-01,trades_buy,0,0,0,6,6,605289,0,
es,2025-01,trades_sell,0,0,0,6,6,605289,514668,-10404
es,2025-01,trades_large,0,0,0,6,6,605289,216808,-12342
es,2025-01,mbo_all,0,0,0,6,6,605289,586709,-9744
es,2025-01,mbo_bid_add,0,0,0,6,6,605289,571827,-10036
es,2025-01,mbo_ask_add,0,0,0,6,6,605289,571821,-9744
es,2025-01,mbo_bid_cancel,0,0,0,6,6,605289,568531,-9922
es,2025-01,mbo_ask_cancel,0,0,0,6,6,605289,568987,-9762
es,2025-01,mbo_cancel_any,0,0,0,6,6,605289,579312,-9762
es,2025-01,mbo_all_rows,0,0,0,6,6,605289,588135,-9744
nq,2025-01,trades_all,0,0,0,6,6,598227,543666,-10574
nq,2025-01,trades_buy,0,0,0,6,6,598227,0,
nq,2025-01,trades_sell,0,0,0,6,6,598227,543666,-10574
nq,2025-01,trades_large,0,0,0,6,6,598227,9735,-116184
cl,2025-01,trades_all,21770,21770,0,90007,68237,801410,314924,-8507
cl,2025-01,trades_buy,0,0,0,90007,90007,801410,0,
cl,2025-01,trades_sell,21770,21770,0,90007,68237,801410,314924,-8507
cl,2025-01,trades_large,1594,1594,0,90007,88413,801410,20887,-69991
cl,2025-01,mbo_all,53249,53249,0,90007,36758,801410,605512,-169
cl,2025-01,mbo_bid_add,40600,40600,0,90007,49407,801410,513973,-1081
cl,2025-01,mbo_ask_add,40435,40435,0,90007,49572,801410,514745,-169
cl,2025-01,mbo_bid_cancel,39581,39581,0,90007,50426,801410,508455,-1213
cl,2025-01,mbo_ask_cancel,39559,39559,0,90007,50448,801410,509514,-551
cl,2025-01,mbo_cancel_any,46643,46643,0,90007,43364,801410,565577,-551
cl,2025-01,mbo_all_rows,54341,54341,0,90007,35666,801410,614293,-169
gc,2025-01,trades_all,13907,13907,0,63896,49989,761736,280130,-323
gc,2025-01,trades_buy,0,0,0,63896,63896,761736,0,
gc,2025-01,trades_sell,13907,13907,0,63896,49989,761736,280130,-323
gc,2025-01,trades_large,267,267,0,63896,63629,761736,4650,-3616885
gc,2025-01,mbo_all,37065,37065,0,63896,26831,761736,566983,-323
gc,2025-01,mbo_bid_add,26290,26290,0,63896,37606,761736,458935,-9557
gc,2025-01,mbo_ask_add,25919,25919,0,63896,37977,761736,454999,-3549
gc,2025-01,mbo_bid_cancel,25095,25095,0,63896,38801,761736,456052,-1419
gc,2025-01,mbo_ask_cancel,24993,24993,0,63896,38903,761736,454991,-323
gc,2025-01,mbo_cancel_any,30403,30403,0,63896,33493,761736,517323,-323
zc,2025-01,trades_all,0,0,0,0,0,338158,93615,-3131
zc,2025-01,trades_buy,0,0,0,0,0,338158,0,
zc,2025-01,trades_sell,0,0,0,0,0,338158,93615,-3131
zc,2025-01,trades_large,0,0,0,0,0,338158,24562,-45471
zc,2025-01,mbo_all,0,0,0,0,0,338158,265765,-421
zc,2025-01,mbo_bid_add,0,0,0,0,0,338158,171784,-3721
zc,2025-01,mbo_ask_add,0,0,0,0,0,338158,169858,-743
zc,2025-01,mbo_bid_cancel,0,0,0,0,0,338158,141628,-1639
zc,2025-01,mbo_ask_cancel,0,0,0,0,0,338158,134575,-421
zc,2025-01,mbo_cancel_any,0,0,0,0,0,338158,187373,-421
zs,2025-01,trades_all,0,0,0,0,0,337844,104984,-4885
zs,2025-01,trades_buy,0,0,0,0,0,337844,0,
zs,2025-01,trades_sell,0,0,0,0,0,337844,104984,-4885
zs,2025-01,trades_large,0,0,0,0,0,337844,23423,-8755
zs,2025-01,mbo_all,0,0,0,0,0,337844,278841,-27
zs,2025-01,mbo_bid_add,0,0,0,0,0,337844,200919,-3589
zs,2025-01,mbo_ask_add,0,0,0,0,0,337844,193267,-3255
zs,2025-01,mbo_bid_cancel,0,0,0,0,0,337844,183995,-1655
zs,2025-01,mbo_ask_cancel,0,0,0,0,0,337844,175936,-2569
zs,2025-01,mbo_cancel_any,0,0,0,0,0,337844,225908,-1655
he,2025-01,trades_all,0,0,0,1,1,337488,53978,-13241
he,2025-01,trades_buy,0,0,0,1,1,337488,0,
he,2025-01,trades_sell,0,0,0,1,1,337488,53978,-13241
he,2025-01,trades_large,0,0,0,1,1,337488,2537,-553141
he,2025-01,mbo_all,0,0,0,1,1,337488,181894,-13
he,2025-01,mbo_bid_add,0,0,0,1,1,337488,111405,-747
he,2025-01,mbo_ask_add,0,0,0,1,1,337488,116544,-3487
he,2025-01,mbo_bid_cancel,0,0,0,1,1,337488,107386,-13
he,2025-01,mbo_ask_cancel,0,0,0,1,1,337488,105265,-1265
he,2025-01,mbo_cancel_any,0,0,0,1,1,337488,140812,-13
le,2025-01,trades_all,0,0,0,1,1,337493,69807,-10017
le,2025-01,trades_buy,0,0,0,1,1,337493,0,
le,2025-01,trades_sell,0,0,0,1,1,337493,69807,-10017
le,2025-01,trades_large,0,0,0,1,1,337493,2589,-216829
le,2025-01,mbo_all,0,0,0,1,1,337493,215483,-11
le,2025-01,mbo_bid_add,0,0,0,1,1,337493,144652,-1821
le,2025-01,mbo_ask_add,0,0,0,1,1,337493,144557,-237
le,2025-01,mbo_bid_cancel,0,0,0,1,1,337493,140812,-373
le,2025-01,mbo_ask_cancel,0,0,0,1,1,337493,141139,-11
le,2025-01,mbo_cancel_any,0,0,0,1,1,337493,179911,-11
es,2025-08,trades_all,0,0,0,6,6,546609,424847,-48466
es,2025-08,trades_buy,0,0,0,6,6,546609,0,
es,2025-08,trades_sell,0,0,0,6,6,546609,424847,-48466
es,2025-08,trades_large,0,0,0,6,6,546609,186366,-61746
es,2025-08,mbo_all,0,0,0,6,6,546609,525859,-46654
es,2025-08,mbo_bid_add,0,0,0,6,6,546609,513557,-47030
es,2025-08,mbo_ask_add,0,0,0,6,6,546609,512555,-46654
es,2025-08,mbo_bid_cancel,0,0,0,6,6,546609,511458,-47188
es,2025-08,mbo_ask_cancel,0,0,0,6,6,546609,510273,-47796
es,2025-08,mbo_cancel_any,0,0,0,6,6,546609,519762,-47188
es,2025-08,mbo_all_rows,0,0,0,6,6,546609,526558,-46654
nq,2025-08,trades_all,0,0,0,7,7,540530,471214,-851232
nq,2025-08,trades_buy,0,0,0,7,7,540530,0,
nq,2025-08,trades_sell,0,0,0,7,7,540530,471214,-851232
nq,2025-08,trades_large,0,0,0,7,7,540530,9390,-2250368
cl,2025-08,trades_all,9048,9048,0,50518,41470,664076,206174,-9163
cl,2025-08,trades_buy,0,0,0,50518,50518,664076,0,
cl,2025-08,trades_sell,9048,9048,0,50518,41470,664076,206174,-9163
cl,2025-08,trades_large,771,771,0,50518,49747,664076,14637,-298627
cl,2025-08,mbo_all,27852,27852,0,50518,22666,664076,489126,-227
cl,2025-08,mbo_bid_add,18374,18374,0,50518,32144,664076,375436,-227
cl,2025-08,mbo_ask_add,18586,18586,0,50518,31932,664076,377504,-5995
cl,2025-08,mbo_bid_cancel,17902,17902,0,50518,32616,664076,368244,-9163
cl,2025-08,mbo_ask_cancel,17988,17988,0,50518,32530,664076,368060,-13283
cl,2025-08,mbo_cancel_any,22428,22428,0,50518,28090,664076,429643,-9163
gc,2025-08,trades_all,16051,16051,0,74485,58434,692041,265177,-1309
gc,2025-08,trades_buy,0,0,0,74485,74485,692041,0,
gc,2025-08,trades_sell,16051,16051,0,74485,58434,692041,265177,-1309
gc,2025-08,trades_large,232,232,0,74485,74253,692041,4099,-1775111
gc,2025-08,mbo_all,42886,42886,0,74485,31599,692041,514945,-185
gc,2025-08,mbo_bid_add,29001,29001,0,74485,45484,692041,412359,-2335
gc,2025-08,mbo_ask_add,28636,28636,0,74485,45849,692041,405465,-297
gc,2025-08,mbo_bid_cancel,28194,28194,0,74485,46291,692041,409997,-185
gc,2025-08,mbo_ask_cancel,28457,28457,0,74485,46028,692041,408975,-1489
gc,2025-08,mbo_cancel_any,35509,35509,0,74485,38976,692041,467893,-185
zc,2025-08,trades_all,23755,23755,0,211450,187695,554303,70649,-14899
zc,2025-08,trades_buy,0,0,0,211450,211450,554303,0,
zc,2025-08,trades_sell,23755,23755,0,211450,187695,554303,70649,-14899
zc,2025-08,trades_large,5567,5567,0,211450,205883,554303,15575,-19533
zc,2025-08,mbo_all,90868,90868,0,211450,120582,554303,231705,-773
zc,2025-08,mbo_bid_add,46280,46280,0,211450,165170,554303,133346,-1185
zc,2025-08,mbo_ask_add,47496,47496,0,211450,163954,554303,129829,-1627
zc,2025-08,mbo_bid_cancel,34610,34610,0,211450,176840,554303,100271,-4273
zc,2025-08,mbo_ask_cancel,34311,34311,0,211450,177139,554303,98811,-1389
zc,2025-08,mbo_cancel_any,53074,53074,0,211450,158376,554303,148187,-1389
zs,2025-08,trades_all,17717,17717,0,132212,114495,465381,83077,-591
zs,2025-08,trades_buy,0,0,0,132212,132212,465381,0,
zs,2025-08,trades_sell,17717,17717,0,132212,114495,465381,83077,-591
zs,2025-08,trades_large,4511,4511,0,132212,127701,465381,19406,-3379
zs,2025-08,mbo_all,64404,64404,0,132212,67808,465381,269272,-3
zs,2025-08,mbo_bid_add,39806,39806,0,132212,92406,465381,182897,-69
zs,2025-08,mbo_ask_add,39319,39319,0,132212,92893,465381,178812,-3
zs,2025-08,mbo_bid_cancel,34379,34379,0,132212,97833,465381,161735,-903
zs,2025-08,mbo_ask_cancel,33614,33614,0,132212,98598,465381,156008,-339
zs,2025-08,mbo_cancel_any,46125,46125,0,132212,86087,465381,208753,-339
he,2025-08,trades_all,0,0,0,15,15,308710,40708,-9207
he,2025-08,trades_buy,0,0,0,15,15,308710,0,
he,2025-08,trades_sell,0,0,0,15,15,308710,40708,-9207
he,2025-08,trades_large,0,0,0,15,15,308710,2024,-871681
he,2025-08,mbo_all,0,0,0,15,15,308710,142378,-1001
he,2025-08,mbo_bid_add,0,0,0,15,15,308710,71070,-1001
he,2025-08,mbo_ask_add,0,0,0,15,15,308710,71569,-21083
he,2025-08,mbo_bid_cancel,0,0,0,15,15,308710,64884,-9271
he,2025-08,mbo_ask_cancel,0,0,0,15,15,308710,64371,-9207
he,2025-08,mbo_cancel_any,0,0,0,15,15,308710,92798,-9207
le,2025-08,trades_all,0,0,0,13,13,308710,67985,-15039
le,2025-08,trades_buy,0,0,0,13,13,308710,0,
le,2025-08,trades_sell,0,0,0,13,13,308710,67985,-15039
le,2025-08,trades_large,0,0,0,13,13,308710,1454,-379597
le,2025-08,mbo_all,0,0,0,13,13,308710,187695,-523
le,2025-08,mbo_bid_add,0,0,0,13,13,308710,115782,-1881
le,2025-08,mbo_ask_add,0,0,0,13,13,308710,117716,-11751
le,2025-08,mbo_bid_cancel,0,0,0,13,13,308710,113488,-4239
le,2025-08,mbo_ask_cancel,0,0,0,13,13,308710,114622,-5683
le,2025-08,mbo_cancel_any,0,0,0,13,13,308710,145997,-4239
es,2025-09,trades_all,0,0,0,5,5,553279,420476,-11572
es,2025-09,trades_buy,0,0,0,5,5,553279,0,
es,2025-09,trades_sell,0,0,0,5,5,553279,420476,-11572
es,2025-09,trades_large,0,0,0,5,5,553279,192371,-11572
es,2025-09,mbo_all,0,0,0,5,5,553279,533012,-10250
es,2025-09,mbo_bid_add,0,0,0,5,5,553279,518533,-10464
es,2025-09,mbo_ask_add,0,0,0,5,5,553279,517619,-10250
es,2025-09,mbo_bid_cancel,0,0,0,5,5,553279,517146,-10522
es,2025-09,mbo_ask_cancel,0,0,0,5,5,553279,515989,-10658
es,2025-09,mbo_cancel_any,0,0,0,5,5,553279,527056,-10522
es,2025-09,mbo_all_rows,0,0,0,5,5,553279,533914,-10250
nq,2025-09,trades_all,0,0,0,5,5,549430,459818,-1266366
nq,2025-09,trades_buy,0,0,0,5,5,549430,0,
nq,2025-09,trades_sell,0,0,0,5,5,549430,459818,-1266366
nq,2025-09,trades_large,0,0,0,5,5,549430,8659,-1442570
cl,2025-09,trades_all,10803,10803,0,57375,46572,687658,193513,-959
cl,2025-09,trades_buy,0,0,0,57375,57375,687658,0,
cl,2025-09,trades_sell,10803,10803,0,57375,46572,687658,193513,-959
cl,2025-09,trades_large,1055,1055,0,57375,56320,687658,18122,-817217
cl,2025-09,mbo_all,34010,34010,0,57375,23365,687658,490164,-603
cl,2025-09,mbo_bid_add,23072,23072,0,57375,34303,687658,375948,-603
cl,2025-09,mbo_ask_add,23009,23009,0,57375,34366,687658,375134,-11885
cl,2025-09,mbo_bid_cancel,22200,22200,0,57375,35175,687658,364454,-4203
cl,2025-09,mbo_ask_cancel,22232,22232,0,57375,35143,687658,366280,-959
cl,2025-09,mbo_cancel_any,27739,27739,0,57375,29636,687658,430328,-959
gc,2025-09,trades_all,25862,25862,0,95508,69646,734280,334397,-2673
gc,2025-09,trades_buy,0,0,0,95508,95508,734280,0,
gc,2025-09,trades_sell,25862,25862,0,95508,69646,734280,334397,-2673
gc,2025-09,trades_large,322,322,0,95508,95186,734280,4847,-960791
gc,2025-09,mbo_all,59691,59691,0,95508,35817,734280,563143,-73
gc,2025-09,mbo_bid_add,45079,45079,0,95508,50429,734280,492534,-319
gc,2025-09,mbo_ask_add,44184,44184,0,95508,51324,734280,486307,-73
gc,2025-09,mbo_bid_cancel,44675,44675,0,95508,50833,734280,492395,-2005
gc,2025-09,mbo_ask_cancel,44498,44498,0,95508,51010,734280,490516,-1233
gc,2025-09,mbo_cancel_any,52942,52942,0,95508,42566,734280,536546,-1233
gc,2025-09,mbo_all_rows,61023,61023,0,95508,34485,734280,568980,-73
zc,2025-09,trades_all,30617,30617,0,253014,222397,580944,82384,-561
zc,2025-09,trades_buy,0,0,0,253014,253014,580944,0,
zc,2025-09,trades_sell,30617,30617,0,253014,222397,580944,82384,-561
zc,2025-09,trades_large,6041,6041,0,253014,246973,580944,16538,-37719
zc,2025-09,mbo_all,111334,111334,0,253014,141680,580944,239782,-315
zc,2025-09,mbo_bid_add,56272,56272,0,253014,196742,580944,135646,-1561
zc,2025-09,mbo_ask_add,56898,56898,0,253014,196116,580944,141510,-4097
zc,2025-09,mbo_bid_cancel,39378,39378,0,253014,213636,580944,102170,-1057
zc,2025-09,mbo_ask_cancel,38971,38971,0,253014,214043,580944,101826,-315
zc,2025-09,mbo_cancel_any,59801,59801,0,253014,193213,580944,148536,-315
zs,2025-09,trades_all,10382,10382,0,101796,91414,429465,73349,-7133
zs,2025-09,trades_buy,0,0,0,101796,101796,429465,0,
zs,2025-09,trades_sell,10382,10382,0,101796,91414,429465,73349,-7133
zs,2025-09,trades_large,2628,2628,0,101796,99168,429465,17960,-7133
zs,2025-09,mbo_all,45255,45255,0,101796,56541,429465,253457,-171
zs,2025-09,mbo_bid_add,26505,26505,0,101796,75291,429465,164534,-3327
zs,2025-09,mbo_ask_add,26512,26512,0,101796,75284,429465,166112,-171
zs,2025-09,mbo_bid_cancel,22056,22056,0,101796,79740,429465,142581,-7197
zs,2025-09,mbo_ask_cancel,21180,21180,0,101796,80616,429465,138570,-1355
zs,2025-09,mbo_cancel_any,30381,30381,0,101796,71415,429465,188301,-1355
he,2025-09,trades_all,0,0,0,14,14,308701,41089,-3851
he,2025-09,trades_buy,0,0,0,14,14,308701,0,
he,2025-09,trades_sell,0,0,0,14,14,308701,41089,-3851
he,2025-09,trades_large,0,0,0,14,14,308701,1911,-130185
he,2025-09,mbo_all,0,0,0,14,14,308701,135685,-3607
he,2025-09,mbo_bid_add,0,0,0,14,14,308701,71930,-18963
he,2025-09,mbo_ask_add,0,0,0,14,14,308701,70680,-11547
he,2025-09,mbo_bid_cancel,0,0,0,14,14,308701,65575,-13249
he,2025-09,mbo_ask_cancel,0,0,0,14,14,308701,65261,-3607
he,2025-09,mbo_cancel_any,0,0,0,14,14,308701,93443,-3607
le,2025-09,trades_all,0,0,0,15,15,308709,59640,-3953
le,2025-09,trades_buy,0,0,0,15,15,308709,0,
le,2025-09,trades_sell,0,0,0,15,15,308709,59640,-3953
le,2025-09,trades_large,0,0,0,15,15,308709,1173,-335939
le,2025-09,mbo_all,0,0,0,15,15,308709,177407,-3391
le,2025-09,mbo_bid_add,0,0,0,15,15,308709,106159,-3391
le,2025-09,mbo_ask_add,0,0,0,15,15,308709,109371,-3733
le,2025-09,mbo_bid_cancel,0,0,0,15,15,308709,105810,-3953
le,2025-09,mbo_ask_cancel,0,0,0,15,15,308709,103791,-14311
le,2025-09,mbo_cancel_any,0,0,0,15,15,308709,137519,-3953
es,2025-10,trades_all,0,0,0,5,5,599189,490280,-30738
es,2025-10,trades_buy,0,0,0,5,5,599189,0,
es,2025-10,trades_sell,0,0,0,5,5,599189,490280,-30738
es,2025-10,trades_large,0,0,0,5,5,599189,229183,-30738
es,2025-10,mbo_all,0,0,0,5,5,599189,577340,-30166
es,2025-10,mbo_bid_add,0,0,0,5,5,599189,566372,-30166
es,2025-10,mbo_ask_add,0,0,0,5,5,599189,565763,-31012
es,2025-10,mbo_bid_cancel,0,0,0,5,5,599189,564438,-30650
es,2025-10,mbo_ask_cancel,0,0,0,5,5,599189,563389,-30484
es,2025-10,mbo_cancel_any,0,0,0,5,5,599189,571780,-30484
es,2025-10,mbo_all_rows,0,0,0,5,5,599189,577837,-30166
nq,2025-10,trades_all,0,0,0,5,5,590785,524558,-12978
nq,2025-10,trades_buy,0,0,0,5,5,590785,0,
nq,2025-10,trades_sell,0,0,0,5,5,590785,524558,-12978
nq,2025-10,trades_large,0,0,0,5,5,590785,10619,-641168
cl,2025-10,trades_all,15002,15002,0,73870,58868,745569,246052,-2801
cl,2025-10,trades_buy,0,0,0,73870,73870,745569,0,
cl,2025-10,trades_sell,15002,15002,0,73870,58868,745569,246052,-2801
cl,2025-10,trades_large,1309,1309,0,73870,72561,745569,20370,-101309
cl,2025-10,mbo_all,42377,42377,0,73870,31493,745569,546112,-25
cl,2025-10,mbo_bid_add,30491,30491,0,73870,43379,745569,440704,-657
cl,2025-10,mbo_ask_add,30337,30337,0,73870,43533,745569,442662,-3449
cl,2025-10,mbo_bid_cancel,29685,29685,0,73870,44185,745569,433053,-25
cl,2025-10,mbo_ask_cancel,29182,29182,0,73870,44688,745569,433299,-293
cl,2025-10,mbo_cancel_any,35860,35860,0,73870,38010,745569,495585,-25
