fields: ['column', 'side', 'boundary', 'event_class', 'window', 'strictly_after_count', 'equal_count', 'total_rows', 'frac', 'worst_overhang_ms', 'exactness', 'note']
2 {'column': 'net_delta', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'as built signed_vol = -uint32 size wraps to 2**32-size for every trade (all classified sell)'}
5 {'column': 'buy_volume', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_buy', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '0', 'equal_count': '0', 'total_rows': '338159', 'frac': '0.0', 'worst_overhang_ms': '0.0', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': "AS-BUILT CAVEAT: is_buy=aggressor_side.isin(['B','Buy','buy']) matches no value (actual values SELL_AGGRESSOR/BUY_AGGRESSOR/UNKNOWN) -> buy_volume identically 0.0, absorbs nothing"}
8 {'column': 'sell_volume', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_sell', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'as built absorbs ALL trades (every trade classified sell; sell_volume==trade_volume on all rows)'}
11 {'column': 'trade_count', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
14 {'column': 'trade_volume', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
17 {'column': 'large_trade_count', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_large', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '23633', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.069887', 'worst_overhang_ms': '999.954529', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
20 {'column': 'vwap', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'merged 1s aggregate; if own second tradeless, stale value from earlier second (ffill)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
23 {'column': 'net_delta_1s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'rolling 1 row (== net_delta)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
26 {'column': 'net_delta_5s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
29 {'column': 'net_delta_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
32 {'column': 'net_delta_30s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'rolling 30 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
35 {'column': 'net_delta_60s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'rolling 60 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
38 {'column': 'buy_volume_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_buy', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '0', 'equal_count': '0', 'total_rows': '338159', 'frac': '0.0', 'worst_overhang_ms': '0.0', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'identically 0.0 as built (see buy_volume)'}
41 {'column': 'sell_volume_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_sell', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'as built absorbs ALL trades (see sell_volume)'}
44 {'column': 'trade_count_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
47 {'column': 'large_trade_count_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_large', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '23633', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.069887', 'worst_overhang_ms': '999.954529', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
