column,side,boundary,event_class,window,strictly_after_count,equal_count,total_rows,frac,worst_overhang_ms,exactness,note
net_delta,contaminated,decision_T,trades_all,merged 1s aggregate (own second),89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),as built signed_vol = -uint32 size wraps to 2**32-size for every trade (all classified sell)
net_delta,corrected,decision_T,trades_all,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),as built signed_vol = -uint32 size wraps to 2**32-size for every trade (all classified sell)
net_delta,corrected,claimed_T_prev,trades_all,merged 1s aggregate (own second),89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),as built signed_vol = -uint32 size wraps to 2**32-size for every trade (all classified sell)
buy_volume,contaminated,decision_T,trades_buy,merged 1s aggregate (own second),0,0,338159,0.0,0.0,exact (only own/prev second can exceed boundary),"AS-BUILT CAVEAT: is_buy=aggressor_side.isin(['B','Buy','buy']) matches no value (actual values SELL_AGGRESSOR/BUY_AGGRESSOR/UNKNOWN) -> buy_volume identically 0.0, absorbs nothing"
buy_volume,corrected,decision_T,trades_buy,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),"AS-BUILT CAVEAT: is_buy=aggressor_side.isin(['B','Buy','buy']) matches no value (actual values SELL_AGGRESSOR/BUY_AGGRESSOR/UNKNOWN) -> buy_volume identically 0.0, absorbs nothing"
buy_volume,corrected,claimed_T_prev,trades_buy,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),"AS-BUILT CAVEAT: is_buy=aggressor_side.isin(['B','Buy','buy']) matches no value (actual values SELL_AGGRESSOR/BUY_AGGRESSOR/UNKNOWN) -> buy_volume identically 0.0, absorbs nothing"
sell_volume,contaminated,decision_T,trades_sell,merged 1s aggregate (own second),89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),as built absorbs ALL trades (every trade classified sell; sell_volume==trade_volume on all rows)
sell_volume,corrected,decision_T,trades_sell,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),as built absorbs ALL trades (every trade classified sell; sell_volume==trade_volume on all rows)
sell_volume,corrected,claimed_T_prev,trades_sell,merged 1s aggregate (own second),89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),as built absorbs ALL trades (every trade classified sell; sell_volume==trade_volume on all rows)
trade_count,contaminated,decision_T,trades_all,merged 1s aggregate (own second),89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
trade_count,corrected,decision_T,trades_all,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
trade_count,corrected,claimed_T_prev,trades_all,merged 1s aggregate (own second),89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
trade_volume,contaminated,decision_T,trades_all,merged 1s aggregate (own second),89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
trade_volume,corrected,decision_T,trades_all,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
trade_volume,corrected,claimed_T_prev,trades_all,merged 1s aggregate (own second),89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
large_trade_count,contaminated,decision_T,trades_large,merged 1s aggregate (own second),23633,20,338159,0.069887,999.954529,exact (only own/prev second can exceed boundary),
large_trade_count,corrected,decision_T,trades_large,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
large_trade_count,corrected,claimed_T_prev,trades_large,merged 1s aggregate (own second),23633,20,338158,0.069887,999.954529,exact (only own/prev second can exceed boundary),
vwap,contaminated,decision_T,trades_all,"merged 1s aggregate; if own second tradeless, stale value from earlier second (ffill)",89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
vwap,corrected,decision_T,trades_all,"merged 1s aggregate; if own second tradeless, stale value from earlier second (ffill)",0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
vwap,corrected,claimed_T_prev,trades_all,"merged 1s aggregate; if own second tradeless, stale value from earlier second (ffill)",89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
net_delta_1s,contaminated,decision_T,trades_all,rolling 1 row (== net_delta),89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
net_delta_1s,corrected,decision_T,trades_all,rolling 1 row (== net_delta),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
net_delta_1s,corrected,claimed_T_prev,trades_all,rolling 1 row (== net_delta),89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
net_delta_5s,contaminated,decision_T,trades_all,rolling 5 rows ending at own row,89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
net_delta_5s,corrected,decision_T,trades_all,rolling 5 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
net_delta_5s,corrected,claimed_T_prev,trades_all,rolling 5 rows ending at own row,89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
net_delta_10s,contaminated,decision_T,trades_all,rolling 10 rows ending at own row,89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
net_delta_10s,corrected,decision_T,trades_all,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
net_delta_10s,corrected,claimed_T_prev,trades_all,rolling 10 rows ending at own row,89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
net_delta_30s,contaminated,decision_T,trades_all,rolling 30 rows ending at own row,89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
net_delta_30s,corrected,decision_T,trades_all,rolling 30 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
net_delta_30s,corrected,claimed_T_prev,trades_all,rolling 30 rows ending at own row,89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
net_delta_60s,contaminated,decision_T,trades_all,rolling 60 rows ending at own row,89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
net_delta_60s,corrected,decision_T,trades_all,rolling 60 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
net_delta_60s,corrected,claimed_T_prev,trades_all,rolling 60 rows ending at own row,89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
buy_volume_10s,contaminated,decision_T,trades_buy,rolling 10 rows ending at own row,0,0,338159,0.0,0.0,exact (only own/prev second can exceed boundary),identically 0.0 as built (see buy_volume)
buy_volume_10s,corrected,decision_T,trades_buy,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),identically 0.0 as built (see buy_volume)
buy_volume_10s,corrected,claimed_T_prev,trades_buy,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),identically 0.0 as built (see buy_volume)
sell_volume_10s,contaminated,decision_T,trades_sell,rolling 10 rows ending at own row,89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),as built absorbs ALL trades (see sell_volume)
sell_volume_10s,corrected,decision_T,trades_sell,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),as built absorbs ALL trades (see sell_volume)
