horizon_s,row_pos,row_stamp,counterpart_pos,counterpart_stamp,wallclock_span,label_value_fwd_move_ticks,mid_at_row,mid_at_counterpart
5,64796,2025-01-07 18:59:55.999682923,64801,2025-01-08 14:30:00,0 days 19:30:04.000317077,0.5,455.875,456.0
5,289558,2025-01-28 18:59:59,289563,2025-01-29 14:30:04,0 days 19:30:05,22.0,486.375,491.875
5,192357,2025-01-17 18:59:58,192362,2025-01-21 14:30:03,3 days 19:30:05,30.5,480.75,488.375
10,64793,2025-01-07 18:59:52.999682923,64803,2025-01-08 14:30:02,0 days 19:30:09.000317077,1.0,455.875,456.125
10,289556,2025-01-28 18:59:57,289566,2025-01-29 14:30:07,0 days 19:30:10,22.0,486.375,491.875
10,192351,2025-01-17 18:59:52,192361,2025-01-21 14:30:02,3 days 19:30:10,30.0,480.75,488.25
30,64781,2025-01-07 18:59:40.999682923,64811,2025-01-08 14:30:10,0 days 19:30:29.000317077,1.0,455.875,456.125
30,289547,2025-01-28 18:59:48,289577,2025-01-29 14:30:18,0 days 19:30:30,22.5,486.375,492.0
30,192339,2025-01-17 18:59:40,192369,2025-01-21 14:30:10,3 days 19:30:30,30.5,480.75,488.375
60,64762,2025-01-07 18:59:21.999682923,64822,2025-01-08 14:30:21,0 days 19:30:59.000317077,1.0,455.875,456.125
60,289537,2025-01-28 18:59:38,289597,2025-01-29 14:30:38,0 days 19:31:00,23.0,486.375,492.125
60,192320,2025-01-17 18:59:21,192380,2025-01-21 14:30:21,3 days 19:31:00,31.5,480.625,488.5
