# V2 re-anchor gap derivation from lattice timestamps
# source: C:\Users\ttbea\AppData\Local\Temp\claude\C--Users-ttbea-OneDrive-Desktop-MBO-2025-4mon--2026-01\8b1d67a4-ce4f-4c55-b09d-1c72e7b6b5e1\scratchpad\fixture_spike\f2\out\contaminated_zc_2025-01_run1.pkl
# rows: 338159; timestamp tz: naive (assumed UTC); monotonic: True
# section 1: all consecutive row-spacing gaps > 60 s (28 total: 20 day-boundary, 8 intra-day)
row_before_pos,row_after_pos,ts_before_utc,ts_after_utc,gap_seconds,gap_str,date_before,date_after,class
16199,16200,2025-01-02T18:59:59,2025-01-03T14:30:00,70201.0,0 days 19:30:01,2025-01-02,2025-01-03,day-boundary
32399,32400,2025-01-03T18:59:59,2025-01-06T14:30:00,243001.0,2 days 19:30:01,2025-01-03,2025-01-06,day-boundary
48599,48600,2025-01-06T18:59:59,2025-01-07T14:29:59.999682923,70200.999682,0 days 19:30:00.999682923,2025-01-06,2025-01-07,day-boundary
64800,64801,2025-01-07T18:59:59.999682923,2025-01-08T14:30:00,70200.000317,0 days 19:30:00.000317077,2025-01-07,2025-01-08,day-boundary
81000,81001,2025-01-08T18:59:59,2025-01-09T14:30:00,70201.0,0 days 19:30:01,2025-01-08,2025-01-09,day-boundary
94577,94578,2025-01-09T18:16:16,2025-01-09T18:17:46.416949035,90.416949,0 days 00:01:30.416949035,2025-01-09,2025-01-09,intra-day
94672,94673,2025-01-09T18:19:20.416949035,2025-01-09T18:24:24.528403883,304.111454,0 days 00:05:04.111454848,2025-01-09,2025-01-09,intra-day
94709,94710,2025-01-09T18:25:00.528403883,2025-01-09T18:45:00,1199.471596,0 days 00:19:59.471596117,2025-01-09,2025-01-09,intra-day
94716,94717,2025-01-09T18:45:06,2025-01-09T18:46:34.572531049,88.572531,0 days 00:01:28.572531049,2025-01-09,2025-01-09,intra-day
94718,94719,2025-01-09T18:46:35.572531049,2025-01-09T18:48:44.947152623,129.374621,0 days 00:02:09.374621574,2025-01-09,2025-01-09,intra-day
94720,94721,2025-01-09T18:48:45.947152623,2025-01-09T18:49:54.786915881,68.839763,0 days 00:01:08.839763258,2025-01-09,2025-01-09,intra-day
94747,94748,2025-01-09T18:50:20.786915881,2025-01-09T18:51:46.311732461,85.524816,0 days 00:01:25.524816580,2025-01-09,2025-01-09,intra-day
94958,94959,2025-01-09T18:55:16.311732461,2025-01-09T18:56:40.148016087,83.836283,0 days 00:01:23.836283626,2025-01-09,2025-01-09,intra-day
95158,95159,2025-01-09T18:59:59.148016087,2025-01-10T14:30:00,70200.851983,0 days 19:30:00.851983913,2025-01-09,2025-01-10,day-boundary
111358,111359,2025-01-10T18:59:59,2025-01-13T14:30:00,243001.0,2 days 19:30:01,2025-01-10,2025-01-13,day-boundary
127558,127559,2025-01-13T18:59:59,2025-01-14T14:30:00,70201.0,0 days 19:30:01,2025-01-13,2025-01-14,day-boundary
143758,143759,2025-01-14T18:59:59,2025-01-15T14:30:00,70201.0,0 days 19:30:01,2025-01-14,2025-01-15,day-boundary
159958,159959,2025-01-15T18:59:59,2025-01-16T14:30:00,70201.0,0 days 19:30:01,2025-01-15,2025-01-16,day-boundary
176158,176159,2025-01-16T18:59:59,2025-01-17T14:30:00,70201.0,0 days 19:30:01,2025-01-16,2025-01-17,day-boundary
192358,192359,2025-01-17T18:59:59,2025-01-21T14:30:00,329401.0,3 days 19:30:01,2025-01-17,2025-01-21,day-boundary
208558,208559,2025-01-21T18:59:59,2025-01-22T14:30:00,70201.0,0 days 19:30:01,2025-01-21,2025-01-22,day-boundary
224758,224759,2025-01-22T18:59:59,2025-01-23T14:30:00,70201.0,0 days 19:30:01,2025-01-22,2025-01-23,day-boundary
240958,240959,2025-01-23T18:59:59,2025-01-24T14:30:00,70201.0,0 days 19:30:01,2025-01-23,2025-01-24,day-boundary
257158,257159,2025-01-24T18:59:59,2025-01-27T14:30:00,243001.0,2 days 19:30:01,2025-01-24,2025-01-27,day-boundary
273358,273359,2025-01-27T18:59:59,2025-01-28T14:30:00,70201.0,0 days 19:30:01,2025-01-27,2025-01-28,day-boundary
289558,289559,2025-01-28T18:59:59,2025-01-29T14:30:00,70201.0,0 days 19:30:01,2025-01-28,2025-01-29,day-boundary
305758,305759,2025-01-29T18:59:59,2025-01-30T14:30:00,70201.0,0 days 19:30:01,2025-01-29,2025-01-30,day-boundary
321958,321959,2025-01-30T18:59:59,2025-01-31T14:30:00,70201.0,0 days 19:30:01,2025-01-30,2025-01-31,day-boundary

# section 2: per-horizon stretched same-day pairs (rows i,i+h positional; same UTC date; span > h seconds)
horizon_s,stretched_same_day_pairs,worst_span,worst_span_seconds,worst_pair_t0_utc,worst_pair_t1_utc,pair_dates
5,34,0 days 00:20:03.471596117,1203.471596,2025-01-09T18:24:56.528403883,2025-01-09T18:45:00,2025-01-09:34
10,61,0 days 00:23:44.418748740,1424.418748,2025-01-09T18:25:00.528403883,2025-01-09T18:48:44.947152623,2025-01-09:61
30,158,0 days 00:25:12.258511998,1512.258511,2025-01-09T18:24:42.528403883,2025-01-09T18:49:54.786915881,2025-01-09:158
60,255,0 days 00:30:45.369966846,1845.369966,2025-01-09T18:19:09.416949035,2025-01-09T18:49:54.786915881,2025-01-09:255
