inst,month,n_rows_month,n_same_second_pairs,bucket,n,n_in_full_session,first_affected_ts_utc,last_affected_ts_utc
es,2025-01,1778405,21,asia_overnight,16,16,2025-01-02 23:59:59.862084861+00:00,2025-01-31 22:00:00.064116275+00:00
es,2025-01,1778405,21,outside_session,5,16,2025-01-02 23:59:59.862084861+00:00,2025-01-31 22:00:00.064116275+00:00
es,2025-08,1760404,21,asia_overnight,16,16,2025-08-01 21:00:00.064038349+00:00,2025-08-29 21:00:00.064030909+00:00
es,2025-08,1760404,21,outside_session,5,16,2025-08-01 21:00:00.064038349+00:00,2025-08-29 21:00:00.064030909+00:00
nq,2025-01,1778405,21,asia_overnight,16,16,2025-01-02 23:59:59.019344087+00:00,2025-01-31 22:00:00.068046697+00:00
nq,2025-01,1778405,21,outside_session,5,16,2025-01-02 23:59:59.019344087+00:00,2025-01-31 22:00:00.068046697+00:00
nq,2025-08,1760404,20,asia_overnight,15,15,2025-08-01 21:00:00.068025423+00:00,2025-08-29 21:00:00.068025619+00:00
nq,2025-08,1760404,20,outside_session,5,15,2025-08-01 21:00:00.068025423+00:00,2025-08-29 21:00:00.068025619+00:00
cl,2025-01,1778401,17,asia_overnight,16,16,2025-01-02 23:59:59.887085183+00:00,2025-01-30 23:59:59.810672385+00:00
cl,2025-01,1778401,17,outside_session,1,16,2025-01-02 23:59:59.887085183+00:00,2025-01-30 23:59:59.810672385+00:00
cl,2025-08,1760403,20,asia_overnight,16,16,2025-08-01 21:00:00.080008135+00:00,2025-08-29 21:00:00.080007849+00:00
cl,2025-08,1760403,20,outside_session,4,16,2025-08-01 21:00:00.080008135+00:00,2025-08-29 21:00:00.080007849+00:00
gc,2025-01,1778393,21,asia_overnight,16,16,2025-01-02 23:59:59.906353509+00:00,2025-01-31 22:00:00.076043895+00:00
gc,2025-01,1778393,21,outside_session,5,16,2025-01-02 23:59:59.906353509+00:00,2025-01-31 22:00:00.076043895+00:00
gc,2025-08,1761718,21,asia_overnight,16,16,2025-08-01 21:00:00.076032735+00:00,2025-08-29 21:00:00.076020223+00:00
gc,2025-08,1761718,21,outside_session,5,16,2025-08-01 21:00:00.076032735+00:00,2025-08-29 21:00:00.076020223+00:00
zc,2025-01,1346274,14,afternoon,14,14,2025-01-02 19:19:59.869251991+00:00,2025-01-30 19:19:59.178534011+00:00
zc,2025-08,1712400,21,outside_session,16,5,2025-08-01 18:19:59.703853465+00:00,2025-08-29 18:19:59.920747881+00:00
zc,2025-08,1712400,21,afternoon,5,5,2025-08-01 18:19:59.703853465+00:00,2025-08-29 18:19:59.920747881+00:00
zs,2025-01,1346211,18,afternoon,18,18,2025-01-02 19:19:59.781525811+00:00,2025-01-31 19:19:59.711764819+00:00
zs,2025-08,1712400,21,outside_session,16,5,2025-08-01 18:19:59.966552915+00:00,2025-08-29 18:19:59.828965401+00:00
zs,2025-08,1712400,21,afternoon,5,5,2025-08-01 18:19:59.966552915+00:00,2025-08-29 18:19:59.828965401+00:00
he,2025-01,343499,15,afternoon,15,15,2025-01-02 19:04:57.753595053+00:00,2025-01-30 19:04:59.712503775+00:00
he,2025-08,346496,15,afternoon,15,15,2025-08-01 18:04:59.044508277+00:00,2025-08-28 18:04:59.498824293+00:00
le,2025-01,343507,14,afternoon,14,14,2025-01-02 19:04:59.999310487+00:00,2025-01-29 19:04:59.931616417+00:00
le,2025-08,346498,13,afternoon,13,13,2025-08-01 18:04:59.993331631+00:00,2025-08-27 18:04:59.996801441+00:00
