lattice,inst,month,n_rows,adj_same_second_pairs,adj_exact_dup_ts,file,path,min_gap_ns,median_gap_ns,n_gap_lt_1s
v4_load_snapshots,es,2025-01,1778405,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-01.parquet,,,
v4_load_snapshots,es,2025-02,1612804,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-02.parquet,,,
v4_load_snapshots,es,2025-03,1774804,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-03.parquet,,,
v4_load_snapshots,es,2025-04,1771204,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-04.parquet,,,
v4_load_snapshots,es,2025-05,1761533,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-05.parquet,,,
v4_load_snapshots,es,2025-06,1684804,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-06.parquet,,,
v4_load_snapshots,es,2025-07,1868399,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-07.parquet,,,
v4_load_snapshots,es,2025-08,1760404,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-08.parquet,,,
v4_load_snapshots,es,2025-09,1771204,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-09.parquet,,,
v4_load_snapshots,es,2025-10,1933204,23,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-10.parquet,,,
v4_load_snapshots,es,2025-11,1533603,18,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-11.parquet,,,
v4_load_snapshots,es,2025-12,1844105,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-12.parquet,,,
v4_load_snapshots,es,ALL12_SORTED,21094473,250,0,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk,11686000.0,1000000000.0,250.0
v4_load_snapshots,nq,2025-01,1778405,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-01.parquet,,,
v4_load_snapshots,nq,2025-02,1612803,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-02.parquet,,,
v4_load_snapshots,nq,2025-03,1774804,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-03.parquet,,,
v4_load_snapshots,nq,2025-04,1771203,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-04.parquet,,,
v4_load_snapshots,nq,2025-05,1760447,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-05.parquet,,,
v4_load_snapshots,nq,2025-06,1684804,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-06.parquet,,,
v4_load_snapshots,nq,2025-07,1868403,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-07.parquet,,,
v4_load_snapshots,nq,2025-08,1760404,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-08.parquet,,,
v4_load_snapshots,nq,2025-09,1771204,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-09.parquet,,,
v4_load_snapshots,nq,2025-10,1933205,23,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-10.parquet,,,
v4_load_snapshots,nq,2025-11,1533603,18,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-11.parquet,,,
v4_load_snapshots,nq,2025-12,1844106,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill\nq_snapshots_2025-12.parquet,,,
v4_load_snapshots,nq,ALL12_SORTED,21093391,249,0,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\v4_gapfill,14404000.0,1000000000.0,250.0
v4_load_snapshots,cl,2025-01,1778401,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-01.parquet,,,
v4_load_snapshots,cl,2025-02,1612803,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-02.parquet,,,
v4_load_snapshots,cl,2025-03,1774744,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-03.parquet,,,
v4_load_snapshots,cl,2025-04,1771179,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-04.parquet,,,
v4_load_snapshots,cl,2025-05,1760445,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-05.parquet,,,
v4_load_snapshots,cl,2025-06,1684803,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-06.parquet,,,
v4_load_snapshots,cl,2025-07,1868403,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-07.parquet,,,
v4_load_snapshots,cl,2025-08,1760403,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-08.parquet,,,
v4_load_snapshots,cl,2025-09,1771204,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-09.parquet,,,
v4_load_snapshots,cl,2025-10,1933205,23,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-10.parquet,,,
v4_load_snapshots,cl,2025-11,1533539,13,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-11.parquet,,,
v4_load_snapshots,cl,2025-12,1845864,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-12.parquet,,,
v4_load_snapshots,cl,ALL12_SORTED,21094993,233,0,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill,15344000.0,1000000000.0,250.0
v4_load_snapshots,gc,2025-01,1778393,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-01.parquet,,,
v4_load_snapshots,gc,2025-02,1612804,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-02.parquet,,,
