side,month,class,boundary,strict_count,equal_count,rows
corrected,2025-01,mbo_all,decision_T,0,5,598227
corrected,2025-01,mbo_all,prev_row_B,573849,4,598227
corrected,2025-01,mbo_bid_add,decision_T,0,0,598227
corrected,2025-01,mbo_bid_add,prev_row_B,566294,0,598227
corrected,2025-01,mbo_ask_add,decision_T,0,1,598227
corrected,2025-01,mbo_ask_add,prev_row_B,566209,0,598227
corrected,2025-01,mbo_bid_cancel,decision_T,0,1,598227
corrected,2025-01,mbo_bid_cancel,prev_row_B,565958,1,598227
corrected,2025-01,mbo_ask_cancel,decision_T,0,3,598227
corrected,2025-01,mbo_ask_cancel,prev_row_B,566085,3,598227
corrected,2025-01,mbo_cancel_any,decision_T,0,4,598227
corrected,2025-01,mbo_cancel_any,prev_row_B,570947,4,598227
corrected,2025-01,mbo_all_rows,decision_T,0,5,598227
corrected,2025-01,mbo_all_rows,prev_row_B,574626,4,598227
contaminated,2025-01,mbo_all,decision_T,573849,5,598228
contaminated,2025-01,mbo_bid_add,decision_T,566294,0,598228
contaminated,2025-01,mbo_ask_add,decision_T,566209,1,598228
contaminated,2025-01,mbo_bid_cancel,decision_T,565958,1,598228
contaminated,2025-01,mbo_ask_cancel,decision_T,566085,3,598228
contaminated,2025-01,mbo_cancel_any,decision_T,570947,4,598228
contaminated,2025-01,mbo_all_rows,decision_T,574626,5,598228
corrected,2025-08,mbo_all,decision_T,0,5,540530
corrected,2025-08,mbo_all,prev_row_B,524025,93,540530
corrected,2025-08,mbo_bid_add,decision_T,0,0,540530
corrected,2025-08,mbo_bid_add,prev_row_B,513246,55,540530
corrected,2025-08,mbo_ask_add,decision_T,0,0,540530
corrected,2025-08,mbo_ask_add,prev_row_B,513303,34,540530
corrected,2025-08,mbo_bid_cancel,decision_T,0,4,540530
corrected,2025-08,mbo_bid_cancel,prev_row_B,514325,4,540530
corrected,2025-08,mbo_ask_cancel,decision_T,0,1,540530
corrected,2025-08,mbo_ask_cancel,prev_row_B,514089,0,540530
corrected,2025-08,mbo_cancel_any,decision_T,0,5,540530
corrected,2025-08,mbo_cancel_any,prev_row_B,520516,4,540530
corrected,2025-08,mbo_all_rows,decision_T,0,5,540530
corrected,2025-08,mbo_all_rows,prev_row_B,525159,93,540530
contaminated,2025-08,mbo_all,decision_T,524025,94,540531
contaminated,2025-08,mbo_bid_add,decision_T,513246,55,540531
contaminated,2025-08,mbo_ask_add,decision_T,513303,34,540531
contaminated,2025-08,mbo_bid_cancel,decision_T,514325,4,540531
contaminated,2025-08,mbo_ask_cancel,decision_T,514089,1,540531
contaminated,2025-08,mbo_cancel_any,decision_T,520516,5,540531
contaminated,2025-08,mbo_all_rows,decision_T,525159,94,540531
corrected,2025-09,mbo_all,decision_T,0,5,549430
corrected,2025-09,mbo_all,prev_row_B,523307,89,549430
corrected,2025-09,mbo_bid_add,decision_T,0,0,549430
corrected,2025-09,mbo_bid_add,prev_row_B,512737,47,549430
corrected,2025-09,mbo_ask_add,decision_T,0,1,549430
corrected,2025-09,mbo_ask_add,prev_row_B,512597,39,549430
corrected,2025-09,mbo_bid_cancel,decision_T,0,3,549430
corrected,2025-09,mbo_bid_cancel,prev_row_B,513551,2,549430
corrected,2025-09,mbo_ask_cancel,decision_T,0,1,549430
corrected,2025-09,mbo_ask_cancel,prev_row_B,513283,1,549430
corrected,2025-09,mbo_cancel_any,decision_T,0,4,549430
corrected,2025-09,mbo_cancel_any,prev_row_B,519646,3,549430
corrected,2025-09,mbo_all_rows,decision_T,0,5,549430
corrected,2025-09,mbo_all_rows,prev_row_B,524469,89,549430
contaminated,2025-09,mbo_all,decision_T,523307,90,549431
contaminated,2025-09,mbo_bid_add,decision_T,512737,47,549431
contaminated,2025-09,mbo_ask_add,decision_T,512597,39,549431
contaminated,2025-09,mbo_bid_cancel,decision_T,513551,3,549431
contaminated,2025-09,mbo_ask_cancel,decision_T,513283,1,549431
contaminated,2025-09,mbo_cancel_any,decision_T,519646,4,549431
contaminated,2025-09,mbo_all_rows,decision_T,524469,90,549431
corrected,2025-10,mbo_all,decision_T,0,5,590785
corrected,2025-10,mbo_all,prev_row_B,576402,101,590785
corrected,2025-10,mbo_bid_add,decision_T,0,1,590785
corrected,2025-10,mbo_bid_add,prev_row_B,567634,65,590785
corrected,2025-10,mbo_ask_add,decision_T,0,1,590785
corrected,2025-10,mbo_ask_add,prev_row_B,567767,33,590785
corrected,2025-10,mbo_bid_cancel,decision_T,0,2,590785
corrected,2025-10,mbo_bid_cancel,prev_row_B,568799,2,590785
corrected,2025-10,mbo_ask_cancel,decision_T,0,1,590785
corrected,2025-10,mbo_ask_cancel,prev_row_B,568652,1,590785
corrected,2025-10,mbo_cancel_any,decision_T,0,3,590785
corrected,2025-10,mbo_cancel_any,prev_row_B,573725,3,590785
corrected,2025-10,mbo_all_rows,decision_T,0,5,590785
corrected,2025-10,mbo_all_rows,prev_row_B,577120,101,590785
contaminated,2025-10,mbo_all,decision_T,576402,102,590786
contaminated,2025-10,mbo_bid_add,decision_T,567634,66,590786
contaminated,2025-10,mbo_ask_add,decision_T,567767,33,590786
contaminated,2025-10,mbo_bid_cancel,decision_T,568799,2,590786
contaminated,2025-10,mbo_ask_cancel,decision_T,568652,1,590786
contaminated,2025-10,mbo_cancel_any,decision_T,573725,3,590786
contaminated,2025-10,mbo_all_rows,decision_T,577120,102,590786
corrected,2025-11,mbo_all,decision_T,0,3,550463
corrected,2025-11,mbo_all,prev_row_B,516516,3,550463
corrected,2025-11,mbo_bid_add,decision_T,0,0,550463
corrected,2025-11,mbo_bid_add,prev_row_B,511979,0,550463
corrected,2025-11,mbo_ask_add,decision_T,0,2,550463
corrected,2025-11,mbo_ask_add,prev_row_B,512042,2,550463
corrected,2025-11,mbo_bid_cancel,decision_T,0,0,550463
corrected,2025-11,mbo_bid_cancel,prev_row_B,512735,0,550463
corrected,2025-11,mbo_ask_cancel,decision_T,0,1,550463
corrected,2025-11,mbo_ask_cancel,prev_row_B,512849,1,550463
corrected,2025-11,mbo_cancel_any,decision_T,0,1,550463
corrected,2025-11,mbo_cancel_any,prev_row_B,515516,1,550463
corrected,2025-11,mbo_all_rows,decision_T,0,3,550463
corrected,2025-11,mbo_all_rows,prev_row_B,516909,3,550463
contaminated,2025-11,mbo_all,decision_T,516516,3,550464
contaminated,2025-11,mbo_bid_add,decision_T,511979,0,550464
contaminated,2025-11,mbo_ask_add,decision_T,512042,2,550464
contaminated,2025-11,mbo_bid_cancel,decision_T,512735,0,550464
contaminated,2025-11,mbo_ask_cancel,decision_T,512849,1,550464
contaminated,2025-11,mbo_cancel_any,decision_T,515516,1,550464
contaminated,2025-11,mbo_all_rows,decision_T,516909,3,550464
corrected,2025-12,mbo_all,decision_T,0,5,620107
corrected,2025-12,mbo_all,prev_row_B,614563,4,620107
corrected,2025-12,mbo_bid_add,decision_T,0,2,620107
corrected,2025-12,mbo_bid_add,prev_row_B,605001,1,620107
corrected,2025-12,mbo_ask_add,decision_T,0,0,620107
corrected,2025-12,mbo_ask_add,prev_row_B,605213,0,620107
corrected,2025-12,mbo_bid_cancel,decision_T,0,2,620107
corrected,2025-12,mbo_bid_cancel,prev_row_B,606399,2,620107
corrected,2025-12,mbo_ask_cancel,decision_T,0,2,620107
corrected,2025-12,mbo_ask_cancel,prev_row_B,606587,2,620107
corrected,2025-12,mbo_cancel_any,decision_T,0,3,620107
corrected,2025-12,mbo_cancel_any,prev_row_B,612434,3,620107
corrected,2025-12,mbo_all_rows,decision_T,0,6,620107
corrected,2025-12,mbo_all_rows,prev_row_B,615494,5,620107
contaminated,2025-12,mbo_all,decision_T,614563,5,620108
contaminated,2025-12,mbo_bid_add,decision_T,605001,2,620108
contaminated,2025-12,mbo_ask_add,decision_T,605213,0,620108
contaminated,2025-12,mbo_bid_cancel,decision_T,606399,2,620108
contaminated,2025-12,mbo_ask_cancel,decision_T,606587,2,620108
contaminated,2025-12,mbo_cancel_any,decision_T,612434,3,620108
contaminated,2025-12,mbo_all_rows,decision_T,615494,6,620108
