month,date,in_lattice,lattice_rows,lattice_min,lattice_max,v4_day_file_present,v4_events_in_window,v4_mbo_all_in_window,v4_min,v4_max,v3_events_in_window,v3_mbo_all_in_window,v3_min,v3_max
2025-01,2024-12-30,true,423,2024-12-30 14:11:45.886716601,2024-12-30 21:30:26.899004109,false,,,,,153,153,2024-12-30 14:11:45.886716601,2024-12-30 21:30:25.899004109
2025-01,2024-12-31,true,2197,2024-12-31 14:31:50.555349953,2024-12-31 21:59:57.179139349,false,,,,,371,371,2024-12-31 14:31:50.555349953,2024-12-31 21:59:57.179139349
2025-01,2025-01-02,true,28800,2025-01-02 14:00:00.004939881,2025-01-02 21:59:59.004939881,true,18408962,14667211,2025-01-02 14:00:00.000646391,2025-01-02 21:59:59.693437047,18369704,14667416,2025-01-02 14:00:00.000646391,2025-01-02 21:59:59.693437047
2025-01,2025-01-03,true,28801,2025-01-03 14:00:00.000026311,2025-01-03 21:59:59.859050247,true,11155546,8775210,2025-01-03 14:00:00.000102271,2025-01-03 21:59:59.859050247,11130979,8775210,2025-01-03 14:00:00.000102271,2025-01-03 21:59:59.859050247
2025-01,2025-01-06,true,28800,2025-01-06 14:00:00.001697953,2025-01-06 21:59:59.001697953,true,12914586,10137028,2025-01-06 14:00:00.000764037,2025-01-06 21:59:59.944917363,12884533,10137442,2025-01-06 14:00:00.000764037,2025-01-06 21:59:59.944917363
2025-01,2025-01-07,true,28800,2025-01-07 14:00:00.000015847,2025-01-07 21:59:59.000015847,true,17326791,13773175,2025-01-07 14:00:00.000014075,2025-01-07 21:59:59.948446537,17292284,13773737,2025-01-07 14:00:00.000014075,2025-01-07 21:59:59.948446537
2025-01,2025-01-08,true,28800,2025-01-08 14:00:00.000009993,2025-01-08 21:59:59.000009993,true,16339618,13053515,2025-01-08 14:00:00.000108693,2025-01-08 21:59:59.894503953,16306533,13053753,2025-01-08 14:00:00.000108693,2025-01-08 21:59:59.894503953
2025-01,2025-01-09,true,1802,2025-01-09 14:00:00.000013221,2025-01-09 14:30:01.000013221,true,169397,128208,2025-01-09 14:00:00.042132339,2025-01-09 14:30:00.068045977,168879,128218,2025-01-09 14:00:00.042132339,2025-01-09 14:30:00.068045977
2025-01,2025-01-10,true,28801,2025-01-10 14:00:00.001345469,2025-01-10 21:59:59.907180661,true,18342668,14142653,2025-01-10 14:00:00.001483709,2025-01-10 21:59:59.907180661,18304748,14142653,2025-01-10 14:00:00.001483709,2025-01-10 21:59:59.907180661
2025-01,2025-01-13,true,28800,2025-01-13 14:00:00.002620721,2025-01-13 21:59:59.002620721,true,15903582,12505224,2025-01-13 14:00:00.000079391,2025-01-13 21:59:59.805906265,15876706,12505456,2025-01-13 14:00:00.000079391,2025-01-13 21:59:59.805906265
2025-01,2025-01-14,true,28800,2025-01-14 14:00:00.000009879,2025-01-14 21:59:59.000009879,true,16342610,12842844,2025-01-14 14:00:00.001352077,2025-01-14 21:59:59.807812555,16310190,12843061,2025-01-14 14:00:00.001352077,2025-01-14 21:59:59.807812555
2025-01,2025-01-15,true,28800,2025-01-15 14:00:00.000013105,2025-01-15 21:59:59.000013105,true,12532414,9767200,2025-01-15 14:00:00.000499789,2025-01-15 21:59:59.870248733,12507673,9767543,2025-01-15 14:00:00.000499789,2025-01-15 21:59:59.870248733
2025-01,2025-01-16,true,28800,2025-01-16 14:00:00.007159527,2025-01-16 21:59:59.007159527,true,15160649,12046033,2025-01-16 14:00:00.000499581,2025-01-16 21:59:59.903888935,15137159,12046266,2025-01-16 14:00:00.000499581,2025-01-16 21:59:59.903888935
2025-01,2025-01-17,true,28801,2025-01-17 14:00:00.000015057,2025-01-17 21:59:59.813395599,true,13160302,10197010,2025-01-17 14:00:00.000417565,2025-01-17 21:59:59.813395599,13134938,10197010,2025-01-17 14:00:00.000417565,2025-01-17 21:59:59.813395599
2025-01,2025-01-20,true,17801,2025-01-20 14:00:00.004283375,2025-01-20 21:59:59.680986987,false,,,,,2279312,1850406,2025-01-20 14:00:00.000382461,2025-01-20 21:59:59.680986987
2025-01,2025-01-21,true,28800,2025-01-21 14:00:00.001734603,2025-01-21 21:59:59.001734603,true,13929843,10447724,2025-01-21 14:00:00.000126969,2025-01-21 21:59:59.650233867,13911039,10448056,2025-01-21 14:00:00.000126969,2025-01-21 21:59:59.650233867
2025-01,2025-01-22,true,28800,2025-01-22 14:00:00.000010547,2025-01-22 21:59:59.000010547,true,11557606,8698953,2025-01-22 14:00:00.000138259,2025-01-22 21:59:59.807271979,11542889,8699300,2025-01-22 14:00:00.000138259,2025-01-22 21:59:59.807271979
2025-01,2025-01-23,true,28800,2025-01-23 14:00:00.000011757,2025-01-23 21:59:59.000011757,true,10781382,8541621,2025-01-23 14:00:00.000597091,2025-01-23 21:59:59.945012533,10767774,8541769,2025-01-23 14:00:00.000597091,2025-01-23 21:59:59.945012533
2025-01,2025-01-24,true,28801,2025-01-24 14:00:00.000011095,2025-01-24 21:59:59.914897139,true,11395850,9111928,2025-01-24 14:00:00.000193595,2025-01-24 21:59:59.914897139,11380676,9111928,2025-01-24 14:00:00.000193595,2025-01-24 21:59:59.914897139
2025-01,2025-01-27,true,28800,2025-01-27 14:00:00.000011013,2025-01-27 21:59:59.000011013,true,20270126,17776119,2025-01-27 14:00:00.000165861,2025-01-27 21:59:59.980973837,20231213,17776511,2025-01-27 14:00:00.000165861,2025-01-27 21:59:59.980973837
2025-01,2025-01-28,true,28800,2025-01-28 14:00:00.001067155,2025-01-28 21:59:59.001067155,true,14521017,11891726,2025-01-28 14:00:00.001976091,2025-01-28 21:59:59.910905793,14499238,11892038,2025-01-28 14:00:00.001976091,2025-01-28 21:59:59.910905793
2025-01,2025-01-29,true,28800,2025-01-29 14:00:00.000015459,2025-01-29 21:59:59.000015459,true,17075242,13646875,2025-01-29 14:00:00.000178829,2025-01-29 21:59:59.954468593,17043436,13647113,2025-01-29 14:00:00.000178829,2025-01-29 21:59:59.954468593
