ordinal,column,feature_block,source_class,raw_source_traced,parent_columns,mbo_fed,construction_line_numbers,construction_line_quote,upstream_line_numbers
1,mid_return_1s,L1,snapshot parquet,snapshot parquet: mid_price,,NO,152-153,"for lag in [1, 5, 10, 30]:
snap[f""mid_return_{lag}s""] = mid.pct_change(lag)","149; 135,139"
2,mid_return_5s,L1,snapshot parquet,snapshot parquet: mid_price,,NO,152-153,"for lag in [1, 5, 10, 30]:
snap[f""mid_return_{lag}s""] = mid.pct_change(lag)","149; 135,139"
3,mid_return_10s,L1,snapshot parquet,snapshot parquet: mid_price,,NO,152-153,"for lag in [1, 5, 10, 30]:
snap[f""mid_return_{lag}s""] = mid.pct_change(lag)","149; 135,139"
4,mid_return_30s,L1,snapshot parquet,snapshot parquet: mid_price,,NO,152-153,"for lag in [1, 5, 10, 30]:
snap[f""mid_return_{lag}s""] = mid.pct_change(lag)","149; 135,139"
5,tick_direction,L1,snapshot parquet,snapshot parquet: mid_price,,NO,156,"snap[""tick_direction""] = np.sign(mid.pct_change(1)).fillna(0)","149; 135,139"
6,trade_volume_1s,L1,trades parquet,trades_tagged parquet: size,,NO,246,"snap[""trade_volume_1s""] = snap[""trade_volume""].fillna(0)","221,216,226,231; 199,201"
7,trade_count_1s,L1,trades parquet,trades_tagged parquet: size,,NO,247,"snap[""trade_count_1s""] = snap[""trade_count""].fillna(0)","220,216,226,231; 199,201"
8,dollar_volume_1s,L1,trades parquet,"trades_tagged parquet: size, price",,NO,248,"snap[""dollar_volume_1s""] = snap[""dollar_volume""].fillna(0)","214,223,231; 199,201"
9,minutes_since_open,L1,clock-only,snapshot parquet: timestamp (clock only),,NO,159,"snap[""minutes_since_open""] = (snap[""hour_utc""] - ds) * 60 + snap[""timestamp""].dt.minute","144; 135,139"
10,session_open,L1,derived-from-another-column,snapshot parquet: timestamp (clock only),minutes_since_open,NO,162,"snap[""session_open""] = (frac < 0.1).astype(float)","159,160,161"
11,session_mid,L1,derived-from-another-column,snapshot parquet: timestamp (clock only),minutes_since_open,NO,163,"snap[""session_mid""] = ((frac >= 0.1) & (frac < 0.85)).astype(float)","159,160,161"
12,session_close,L1,derived-from-another-column,snapshot parquet: timestamp (clock only),minutes_since_open,NO,164,"snap[""session_close""] = (frac >= 0.85).astype(float)","159,160,161"
13,net_delta_1s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,238-239,"for w in [1, 5, 10, 30, 60]:
snap[f""net_delta_{w}s""] = snap[""net_delta""].rolling(w, min_periods=1).sum()","207-209,217,231; 199,201"
14,net_delta_5s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,238-239,"for w in [1, 5, 10, 30, 60]:
snap[f""net_delta_{w}s""] = snap[""net_delta""].rolling(w, min_periods=1).sum()","207-209,217,231; 199,201"
15,net_delta_10s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,238-239,"for w in [1, 5, 10, 30, 60]:
snap[f""net_delta_{w}s""] = snap[""net_delta""].rolling(w, min_periods=1).sum()","207-209,217,231; 199,201"
