side,instrument,month,rows,trade_classes_scored,max_strict_trade_only,max_equal_trade_only,trade_only_status,mbo_classes_scored,max_strict_mbo_only,max_equal_mbo_only,max_strict_declared10,max_equal_declared10,declared10_status,declared10_classes_scored
corrected,cl,2025-01,801410,4,21770,0,STRICT_POSITIVE,6,53249,2194,53249,2194,STRICT_POSITIVE,10
corrected,cl,2025-08,664076,4,9048,0,STRICT_POSITIVE,6,27852,1427,27852,1427,STRICT_POSITIVE,10
corrected,cl,2025-09,687658,4,10803,1,STRICT_POSITIVE,6,34010,1388,34010,1388,STRICT_POSITIVE,10
corrected,cl,2025-10,745569,4,15002,3,STRICT_POSITIVE,6,42377,1893,42377,1893,STRICT_POSITIVE,10
corrected,cl,2025-11,703999,4,15345,0,STRICT_POSITIVE,6,48607,1680,48607,1680,STRICT_POSITIVE,10
corrected,cl,2025-12,768531,4,10837,2,STRICT_POSITIVE,6,38945,1985,38945,1985,STRICT_POSITIVE,10
corrected,es,2025-01,605289,4,0,0,ZERO_ZERO,6,0,4,0,4,EQUAL_ONLY,10
corrected,es,2025-08,546609,4,0,0,ZERO_ZERO,6,0,6,0,6,EQUAL_ONLY,10
corrected,es,2025-09,553279,4,0,0,ZERO_ZERO,6,0,5,0,5,EQUAL_ONLY,10
corrected,es,2025-10,599189,4,0,1,EQUAL_ONLY,6,0,4,0,4,EQUAL_ONLY,10
corrected,es,2025-11,549423,4,0,1,EQUAL_ONLY,6,0,3,0,3,EQUAL_ONLY,10
corrected,es,2025-12,620107,4,0,0,ZERO_ZERO,6,0,6,0,6,EQUAL_ONLY,10
corrected,gc,2025-01,761736,4,13907,3,STRICT_POSITIVE,6,37065,1853,37065,1853,STRICT_POSITIVE,10
corrected,gc,2025-08,692041,4,16051,0,STRICT_POSITIVE,6,42886,1907,42886,1907,STRICT_POSITIVE,10
corrected,gc,2025-09,734280,4,25862,0,STRICT_POSITIVE,6,59691,2053,59691,2053,STRICT_POSITIVE,10
corrected,gc,2025-10,772447,4,37913,0,STRICT_POSITIVE,6,71584,2588,71584,2588,STRICT_POSITIVE,10
corrected,gc,2025-11,674038,4,12764,1,STRICT_POSITIVE,6,30577,1686,30577,1686,STRICT_POSITIVE,10
corrected,gc,2025-12,772202,4,20195,0,STRICT_POSITIVE,6,49649,1793,49649,1793,STRICT_POSITIVE,10
corrected,he,2025-01,337488,4,0,0,ZERO_ZERO,6,0,1,0,1,EQUAL_ONLY,10
corrected,he,2025-08,308710,4,0,0,ZERO_ZERO,6,0,15,0,15,EQUAL_ONLY,10
corrected,he,2025-09,308701,4,0,0,ZERO_ZERO,6,0,14,0,14,EQUAL_ONLY,10
corrected,he,2025-10,338110,4,0,0,ZERO_ZERO,6,0,17,0,17,EQUAL_ONLY,10
corrected,he,2025-11,304486,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
corrected,he,2025-12,353682,4,0,0,ZERO_ZERO,6,0,1,0,1,EQUAL_ONLY,10
corrected,le,2025-01,337493,4,0,0,ZERO_ZERO,6,0,1,0,1,EQUAL_ONLY,10
corrected,le,2025-08,308710,4,0,0,ZERO_ZERO,6,0,13,0,13,EQUAL_ONLY,10
corrected,le,2025-09,308709,4,0,0,ZERO_ZERO,6,0,15,0,15,EQUAL_ONLY,10
corrected,le,2025-10,338112,4,0,0,ZERO_ZERO,6,0,14,0,14,EQUAL_ONLY,10
corrected,le,2025-11,304491,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
corrected,le,2025-12,353689,4,0,0,ZERO_ZERO,6,0,1,0,1,EQUAL_ONLY,10
corrected,nq,2025-01,598227,4,0,0,ZERO_ZERO,0,,,0,0,ZERO_ZERO,4
corrected,nq,2025-08,540530,4,0,0,ZERO_ZERO,0,,,0,0,ZERO_ZERO,4
corrected,nq,2025-09,549430,4,0,0,ZERO_ZERO,0,,,0,0,ZERO_ZERO,4
corrected,nq,2025-10,590785,4,0,0,ZERO_ZERO,0,,,0,0,ZERO_ZERO,4
corrected,nq,2025-11,550463,4,0,0,ZERO_ZERO,0,,,0,0,ZERO_ZERO,4
corrected,nq,2025-12,620107,4,0,0,ZERO_ZERO,0,,,0,0,ZERO_ZERO,4
corrected,zc,2025-01,338158,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
corrected,zc,2025-08,554303,4,23755,3,STRICT_POSITIVE,6,90868,2857,90868,2857,STRICT_POSITIVE,10
corrected,zc,2025-09,580944,4,30617,1,STRICT_POSITIVE,6,111334,2640,111334,2640,STRICT_POSITIVE,10
corrected,zc,2025-10,634445,4,34492,2,STRICT_POSITIVE,6,109332,2873,109332,2873,STRICT_POSITIVE,10
corrected,zc,2025-11,304505,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
corrected,zc,2025-12,353103,4,0,0,ZERO_ZERO,6,0,1,0,1,EQUAL_ONLY,10
corrected,zs,2025-01,337844,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
corrected,zs,2025-08,465381,4,17717,2,STRICT_POSITIVE,6,64404,2161,64404,2161,STRICT_POSITIVE,10
corrected,zs,2025-09,429465,4,10382,0,STRICT_POSITIVE,6,45255,2281,45255,2281,STRICT_POSITIVE,10
corrected,zs,2025-10,508910,4,16397,0,STRICT_POSITIVE,6,60559,2353,60559,2353,STRICT_POSITIVE,10
corrected,zs,2025-11,304505,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
corrected,zs,2025-12,353103,4,0,0,ZERO_ZERO,6,0,0,0,0,ZERO_ZERO,10
contaminated,cl,2025-01,801411,4,232865,0,STRICT_POSITIVE,6,534779,3205,534779,3205,STRICT_POSITIVE,10
contaminated,cl,2025-08,664077,4,142974,0,STRICT_POSITIVE,6,406797,2469,406797,2469,STRICT_POSITIVE,10
contaminated,cl,2025-09,687659,4,132950,4,STRICT_POSITIVE,6,414893,2277,414893,2277,STRICT_POSITIVE,10
contaminated,cl,2025-10,745570,4,190595,3,STRICT_POSITIVE,6,493760,2981,493760,2981,STRICT_POSITIVE,10
contaminated,cl,2025-11,704000,4,158683,0,STRICT_POSITIVE,6,497360,2466,497360,2466,STRICT_POSITIVE,10
contaminated,cl,2025-12,768532,4,126520,2,STRICT_POSITIVE,6,454867,2740,454867,2740,STRICT_POSITIVE,10
contaminated,es,2025-01,605290,4,514323,1,STRICT_POSITIVE,6,585940,248,585940,248,STRICT_POSITIVE,10
contaminated,es,2025-08,546610,4,424624,0,STRICT_POSITIVE,6,524929,290,524929,290,STRICT_POSITIVE,10
contaminated,es,2025-09,553280,4,420017,0,STRICT_POSITIVE,6,532496,188,532496,188,STRICT_POSITIVE,10
contaminated,es,2025-10,599190,4,490161,1,STRICT_POSITIVE,6,576377,275,576377,275,STRICT_POSITIVE,10
contaminated,es,2025-11,549424,4,484420,1,STRICT_POSITIVE,6,542495,51,542495,51,STRICT_POSITIVE,10
contaminated,es,2025-12,620108,4,499061,0,STRICT_POSITIVE,6,613447,7,613447,7,STRICT_POSITIVE,10
contaminated,gc,2025-01,761737,4,210374,35,STRICT_POSITIVE,6,523228,2713,523228,2713,STRICT_POSITIVE,10
contaminated,gc,2025-08,692042,4,204014,0,STRICT_POSITIVE,6,461530,2865,461530,2865,STRICT_POSITIVE,10
contaminated,gc,2025-09,734281,4,252461,0,STRICT_POSITIVE,6,515322,3369,515322,3369,STRICT_POSITIVE,10
contaminated,gc,2025-10,772448,4,371565,1,STRICT_POSITIVE,6,646575,3732,646575,3732,STRICT_POSITIVE,10
contaminated,gc,2025-11,674039,4,213333,16,STRICT_POSITIVE,6,470500,2670,470500,2670,STRICT_POSITIVE,10
contaminated,gc,2025-12,772203,4,264176,0,STRICT_POSITIVE,6,604763,2890,604763,2890,STRICT_POSITIVE,10
contaminated,he,2025-01,337489,4,39596,0,STRICT_POSITIVE,6,132122,2,132122,2,STRICT_POSITIVE,10
contaminated,he,2025-08,308711,4,29188,0,STRICT_POSITIVE,6,100848,21,100848,21,STRICT_POSITIVE,10
contaminated,he,2025-09,308702,4,27044,0,STRICT_POSITIVE,6,88859,21,88859,21,STRICT_POSITIVE,10
contaminated,he,2025-10,338111,4,30132,1,STRICT_POSITIVE,6,106120,23,106120,23,STRICT_POSITIVE,10
contaminated,he,2025-11,304487,4,35084,0,STRICT_POSITIVE,6,108223,1,108223,1,STRICT_POSITIVE,10
contaminated,he,2025-12,353683,4,36867,0,STRICT_POSITIVE,6,127766,1,127766,1,STRICT_POSITIVE,10
contaminated,le,2025-01,337494,4,44691,0,STRICT_POSITIVE,6,140720,4,140720,4,STRICT_POSITIVE,10
contaminated,le,2025-08,308711,4,43707,1,STRICT_POSITIVE,6,119867,21,119867,21,STRICT_POSITIVE,10
contaminated,le,2025-09,308710,4,42140,1,STRICT_POSITIVE,6,126122,21,126122,21,STRICT_POSITIVE,10
contaminated,le,2025-10,338113,4,47045,1,STRICT_POSITIVE,6,125589,23,125589,23,STRICT_POSITIVE,10
contaminated,le,2025-11,304492,4,26854,0,STRICT_POSITIVE,6,77483,1,77483,1,STRICT_POSITIVE,10
contaminated,le,2025-12,353690,4,31871,0,STRICT_POSITIVE,6,90032,1,90032,1,STRICT_POSITIVE,10
contaminated,nq,2025-01,598228,4,543341,0,STRICT_POSITIVE,0,,,543341,0,STRICT_POSITIVE,4
contaminated,nq,2025-08,540531,4,470095,0,STRICT_POSITIVE,0,,,470095,0,STRICT_POSITIVE,4
contaminated,nq,2025-09,549431,4,455826,0,STRICT_POSITIVE,0,,,455826,0,STRICT_POSITIVE,4
